model,category,count,f1_result,f1_provenance,f1_both
base/sql,1_easy_no_join,13,0.9444444444444444,0.6756756756756757,0.6756756756756757
base/sql,2_medium_join,6,0.6666666666666666,0.5142857142857143,0.5142857142857143
base/sql,3_has_aggr,23,0.0,0.2795698924731182,0.0
base/sql,4_has_union,125,0.7810320781032077,0.5809128630705394,0.5006877579092159
base/sql,5_has_all,74,0.708171206225681,0.5419847328244274,0.48484848484848486
ft/def/llama3_8b_dpo_after_sft_ep1_lora_chat_template_sql_ep1_nobadformat_bcoloss,1_easy_no_join,13,0.868421052631579,0.7435897435897437,0.6153846153846154
ft/def/llama3_8b_dpo_after_sft_ep1_lora_chat_template_sql_ep1_nobadformat_bcoloss,2_medium_join,6,0.6666666666666666,0.6111111111111112,0.6111111111111112
ft/def/llama3_8b_dpo_after_sft_ep1_lora_chat_template_sql_ep1_nobadformat_bcoloss,3_has_aggr,23,0.0,0.40384615384615385,0.0
ft/def/llama3_8b_dpo_after_sft_ep1_lora_chat_template_sql_ep1_nobadformat_bcoloss,4_has_union,125,0.7600000000000001,0.7190412782956058,0.6113306982872201
ft/def/llama3_8b_dpo_after_sft_ep1_lora_chat_template_sql_ep1_nobadformat_bcoloss,5_has_all,74,0.7790262172284644,0.656934306569343,0.5912408759124088
ft/def/llama3_8b_dpo_after_sft_ep2_lora_chat_template_sql_ep1_nobadformat_bcoloss,1_easy_no_join,13,0.868421052631579,0.7435897435897437,0.6153846153846154
ft/def/llama3_8b_dpo_after_sft_ep2_lora_chat_template_sql_ep1_nobadformat_bcoloss,2_medium_join,6,0.6666666666666666,0.6111111111111112,0.6111111111111112
ft/def/llama3_8b_dpo_after_sft_ep2_lora_chat_template_sql_ep1_nobadformat_bcoloss,3_has_aggr,23,0.0,0.4166666666666667,0.0
ft/def/llama3_8b_dpo_after_sft_ep2_lora_chat_template_sql_ep1_nobadformat_bcoloss,4_has_union,125,0.7630522088353412,0.7340425531914895,0.6243386243386243
ft/def/llama3_8b_dpo_after_sft_ep2_lora_chat_template_sql_ep1_nobadformat_bcoloss,5_has_all,74,0.7692307692307692,0.6428571428571428,0.5857142857142856
ft/def/llama3_8b_sft_lora_chat_template_sql_complete,1_easy_no_join,13,0.8823529411764706,0.9855072463768115,0.8695652173913043
ft/def/llama3_8b_sft_lora_chat_template_sql_complete,2_medium_join,6,0.6206896551724138,0.43750000000000006,0.43750000000000006
ft/def/llama3_8b_sft_lora_chat_template_sql_complete,3_has_aggr,23,0.0,0.35051546391752575,0.0
ft/def/llama3_8b_sft_lora_chat_template_sql_complete,4_has_union,125,0.7553191489361701,0.72,0.6200527704485488
ft/def/llama3_8b_sft_lora_chat_template_sql_complete,5_has_all,74,0.7159533073929961,0.6872586872586873,0.5846153846153846
ft/def/llama3_8b_sft_lora_chat_template_sql_complete_ep2,1_easy_no_join,13,1.0,0.9610389610389611,0.9610389610389611
ft/def/llama3_8b_sft_lora_chat_template_sql_complete_ep2,2_medium_join,6,0.28571428571428575,0.34285714285714286,0.15789473684210525
ft/def/llama3_8b_sft_lora_chat_template_sql_complete_ep2,3_has_aggr,23,0.0,0.4556962025316456,0.0
ft/def/llama3_8b_sft_lora_chat_template_sql_complete_ep2,4_has_union,125,0.6837837837837838,0.7469553450608931,0.5779569892473118
ft/def/llama3_8b_sft_lora_chat_template_sql_complete_ep2,5_has_all,74,0.7849056603773585,0.7790262172284643,0.6816479400749064
ft/llama3_8b_dpo_after_sft_lora_chat_template_sql_ep1,1_easy_no_join,13,0.868421052631579,0.7435897435897437,0.6153846153846154
ft/llama3_8b_dpo_after_sft_lora_chat_template_sql_ep1,2_medium_join,6,0.6666666666666666,0.5,0.5
ft/llama3_8b_dpo_after_sft_lora_chat_template_sql_ep1,3_has_aggr,23,0.0,0.4470588235294118,0.0
ft/llama3_8b_dpo_after_sft_lora_chat_template_sql_ep1,4_has_union,125,0.7911479944674966,0.7094972067039107,0.6035665294924554
ft/llama3_8b_dpo_after_sft_lora_chat_template_sql_ep1,5_has_all,74,0.8145454545454545,0.6855123674911661,0.607773851590106
