backbone,category,Base,DPO,SFT
gemma-7b_nl,1_easy_no_join,Base (NL),DPO (NL) ep1 SFT ep1,SFT (NL) ep2
gemma-7b_nl,2_medium_join,Base (NL),DPO (NL) ep1 SFT ep1,SFT (NL) ep1
gemma-7b_nl,3_has_aggr,Base (NL),DPO (NL) ep1 SFT ep1,SFT (NL) ep1
gemma-7b_nl,4_has_union,Base (NL),DPO (NL) ep1 SFT ep1,SFT (NL) ep1
gemma-7b_nl,5_has_all,Base (NL),DPO (NL) ep2 SFT ep1,SFT (NL) ep2
gemma-7b_sql,1_easy_no_join,Base (SQL),DPO (SQL) ep1 SFT ep1,SFT (SQL) ep2
gemma-7b_sql,2_medium_join,Base (SQL),DPO (SQL) ep2 SFT ep2,SFT (SQL) ep1
gemma-7b_sql,3_has_aggr,Base (SQL),DPO (SQL) ep1 SFT ep1,SFT (SQL) ep1
gemma-7b_sql,4_has_union,Base (SQL),DPO (SQL) ep2 SFT ep2,SFT (SQL) ep1
gemma-7b_sql,5_has_all,Base (SQL),DPO (SQL) ep1 SFT ep2,SFT (SQL) ep1
llama3-8b_nl,1_easy_no_join,Base (NL),DPO (NL) ep1 SFT ep2,SFT (NL) ep1
llama3-8b_nl,2_medium_join,Base (NL),DPO (NL) ep1 SFT ep2,SFT (NL) ep1
llama3-8b_nl,3_has_aggr,Base (NL),DPO (NL) ep1 SFT ep1,SFT (NL) ep1
llama3-8b_nl,4_has_union,Base (NL),DPO (NL) ep2 SFT ep1,SFT (NL) ep1
llama3-8b_nl,5_has_all,Base (NL),DPO (NL) ep2 SFT ep2,SFT (NL) ep1
llama3-8b_sql,1_easy_no_join,Base (SQL),DPO (SQL) ep1 SFT ep2,SFT (SQL) ep2
llama3-8b_sql,2_medium_join,Base (SQL),DPO (SQL) ep1 SFT ep2,SFT (SQL) ep1
llama3-8b_sql,3_has_aggr,Base (SQL),DPO (SQL) ep1 SFT ep1,SFT (SQL) ep1
llama3-8b_sql,4_has_union,Base (SQL),DPO (SQL) ep1 SFT ep1,SFT (SQL) ep1
llama3-8b_sql,5_has_all,Base (SQL),DPO (SQL) ep1 SFT ep1,SFT (SQL) ep2
qwen2.5-7b_nl,1_easy_no_join,Base (NL),DPO (NL) ep1 SFT ep1,SFT (NL) ep2
qwen2.5-7b_nl,2_medium_join,Base (NL),DPO (NL) ep1 SFT ep1,SFT (NL) ep2
qwen2.5-7b_nl,3_has_aggr,Base (NL),DPO (NL) ep1 SFT ep1,SFT (NL) ep1
qwen2.5-7b_nl,4_has_union,Base (NL),DPO (NL) ep1 SFT ep2,SFT (NL) ep1
qwen2.5-7b_nl,5_has_all,Base (NL),DPO (NL) ep2 SFT ep2,SFT (NL) ep2
qwen2.5-7b_sql,1_easy_no_join,Base (SQL),DPO (SQL) ep1 SFT ep2,SFT (SQL) ep1
qwen2.5-7b_sql,2_medium_join,Base (SQL),DPO (SQL) ep2 SFT ep2,SFT (SQL) ep1
qwen2.5-7b_sql,3_has_aggr,Base (SQL),DPO (SQL) ep1 SFT ep1,SFT (SQL) ep1
qwen2.5-7b_sql,4_has_union,Base (SQL),DPO (SQL) ep1 SFT ep2,SFT (SQL) ep1
qwen2.5-7b_sql,5_has_all,Base (SQL),DPO (SQL) ep2 SFT ep2,SFT (SQL) ep2
