backbone,model,category,count,f1_result,f1_provenance,f1_both,model_label,family,val,best_run_label,plot_label
gemma-7b_nl,base/nl,1_easy_no_join,13.0,0.23684210526315788,0.9610389610389611,0.2077922077922078,Base (NL),Base,0.9610389610389611,Base (NL),gemma-7b_nl: Base
gemma-7b_nl,base/nl,2_medium_join,6.0,0.0,0.0,0.0,Base (NL),Base,0.0,Base (NL),gemma-7b_nl: Base
gemma-7b_nl,base/nl,3_has_aggr,23.0,0.0,0.6666666666666667,0.0,Base (NL),Base,0.6666666666666667,Base (NL),gemma-7b_nl: Base
gemma-7b_nl,base/nl,4_has_union,125.0,0.07628524046434494,0.6721311475409836,0.07201309328968904,Base (NL),Base,0.6721311475409836,Base (NL),gemma-7b_nl: Base
gemma-7b_nl,base/nl,5_has_all,74.0,0.10256410256410256,0.6739130434782609,0.07220216606498195,Base (NL),Base,0.6739130434782609,Base (NL),gemma-7b_nl: Base
gemma-7b_nl,ft/def/new_negatives/nl/gemma7b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,1_easy_no_join,13.0,0.23684210526315788,0.9610389610389611,0.2077922077922078,DPO (NL) ep1 SFT ep1,DPO,0.9610389610389611,DPO (NL) ep1 SFT ep1,gemma-7b_nl: best_DPO (DPO (NL) ep1 SFT ep1)
gemma-7b_nl,ft/def/new_negatives/nl/gemma7b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,2_medium_join,6.0,0.0,0.06666666666666667,0.0,DPO (NL) ep1 SFT ep2,DPO,0.06666666666666667,DPO (NL) ep1 SFT ep2,gemma-7b_nl: best_DPO (DPO (NL) ep1 SFT ep2)
gemma-7b_nl,ft/def/new_negatives/nl/gemma7b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,3_has_aggr,23.0,0.0,0.7727272727272727,0.0,DPO (NL) ep2 SFT ep2,DPO,0.7727272727272727,DPO (NL) ep2 SFT ep2,gemma-7b_nl: best_DPO (DPO (NL) ep2 SFT ep2)
gemma-7b_nl,ft/def/new_negatives/nl/gemma7b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,4_has_union,125.0,0.06758832565284179,0.6930091185410334,0.06382978723404256,DPO (NL) ep1 SFT ep2,DPO,0.6930091185410334,DPO (NL) ep1 SFT ep2,gemma-7b_nl: best_DPO (DPO (NL) ep1 SFT ep2)
gemma-7b_nl,ft/def/new_negatives/nl/gemma7b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,5_has_all,74.0,0.1056338028169014,0.7482517482517483,0.07665505226480837,DPO (NL) ep2 SFT ep1,DPO,0.7482517482517483,DPO (NL) ep2 SFT ep1,gemma-7b_nl: best_DPO (DPO (NL) ep2 SFT ep1)
