backbone,category,method,delta
gemma-7b_nl,1_easy_no_join,SFT,0.03896103896103886
gemma-7b_nl,2_medium_join,SFT,0.14285714285714285
gemma-7b_nl,3_has_aggr,SFT,0.26881720430107514
gemma-7b_nl,4_has_union,SFT,0.15044949762030668
gemma-7b_nl,5_has_all,SFT,0.10715204527913558
gemma-7b_nl,1_easy_no_join,DPO,0.0
gemma-7b_nl,2_medium_join,DPO,0.06666666666666667
gemma-7b_nl,3_has_aggr,DPO,0.10606060606060597
gemma-7b_nl,4_has_union,DPO,0.020877971000049844
gemma-7b_nl,5_has_all,DPO,0.07433870477348747
gemma-7b_sql,1_easy_no_join,SFT,0.03896103896103886
gemma-7b_sql,2_medium_join,SFT,0.0
gemma-7b_sql,3_has_aggr,SFT,0.06862745098039214
gemma-7b_sql,4_has_union,SFT,0.03359242383632621
gemma-7b_sql,5_has_all,SFT,0.17355715871254163
gemma-7b_sql,1_easy_no_join,DPO,0.0
gemma-7b_sql,2_medium_join,DPO,0.0
gemma-7b_sql,3_has_aggr,DPO,0.0012515644555692873
gemma-7b_sql,4_has_union,DPO,0.03591353506832862
gemma-7b_sql,5_has_all,DPO,0.0548806479113384
llama3-8b_nl,1_easy_no_join,SFT,0.028449502133712667
llama3-8b_nl,2_medium_join,SFT,0.1296296296296296
llama3-8b_nl,3_has_aggr,SFT,0.14761476147614772
llama3-8b_nl,4_has_union,SFT,0.0440973237063258
llama3-8b_nl,5_has_all,SFT,0.19520624303233003
llama3-8b_nl,1_easy_no_join,DPO,0.04212004212004228
llama3-8b_nl,2_medium_join,DPO,0.3796296296296295
llama3-8b_nl,3_has_aggr,DPO,0.0861244019138756
llama3-8b_nl,4_has_union,DPO,0.15004492362982924
llama3-8b_nl,5_has_all,DPO,0.21474115238373803
llama3-8b_sql,1_easy_no_join,SFT,0.2853632853632855
llama3-8b_sql,2_medium_join,SFT,0.08035714285714296
llama3-8b_sql,3_has_aggr,SFT,-0.18241758241758238
llama3-8b_sql,4_has_union,SFT,0.06795171142759904
llama3-8b_sql,5_has_all,SFT,0.1694370567375887
llama3-8b_sql,1_easy_no_join,DPO,0.2853632853632855
llama3-8b_sql,2_medium_join,DPO,0.1556776556776558
llama3-8b_sql,3_has_aggr,DPO,0.226923076923077
llama3-8b_sql,4_has_union,DPO,0.1441633320425112
llama3-8b_sql,5_has_all,DPO,0.29254105839416056
qwen2.5-7b_nl,1_easy_no_join,SFT,-0.03529411764705892
qwen2.5-7b_nl,2_medium_join,SFT,0.1620553359683794
qwen2.5-7b_nl,3_has_aggr,SFT,0.023333333333333317
qwen2.5-7b_nl,4_has_union,SFT,0.18659114979048674
qwen2.5-7b_nl,5_has_all,SFT,0.17213842058562556
qwen2.5-7b_nl,1_easy_no_join,DPO,0.11891891891891881
qwen2.5-7b_nl,2_medium_join,DPO,0.03496503496503489
qwen2.5-7b_nl,3_has_aggr,DPO,0.32695652173913053
qwen2.5-7b_nl,4_has_union,DPO,0.3767636689719557
qwen2.5-7b_nl,5_has_all,DPO,0.4272108843537416
qwen2.5-7b_sql,1_easy_no_join,SFT,0.06608606557377039
qwen2.5-7b_sql,2_medium_join,SFT,-0.003952569169960465
qwen2.5-7b_sql,3_has_aggr,SFT,0.057416267942583754
qwen2.5-7b_sql,4_has_union,SFT,0.1936457472948192
qwen2.5-7b_sql,5_has_all,SFT,0.15688451776649742
qwen2.5-7b_sql,1_easy_no_join,DPO,0.35720448662640203
qwen2.5-7b_sql,2_medium_join,DPO,0.2569169960474309
qwen2.5-7b_sql,3_has_aggr,DPO,0.270509977827051
qwen2.5-7b_sql,4_has_union,DPO,0.39674158026917383
qwen2.5-7b_sql,5_has_all,DPO,0.5760098253275109
