backbone,category,method,delta
gemma-7b_nl,1_easy_no_join,SFT,0.15276828434723175
gemma-7b_nl,2_medium_join,SFT,0.0
gemma-7b_nl,3_has_aggr,SFT,0.0
gemma-7b_nl,4_has_union,SFT,0.045233746877427206
gemma-7b_nl,5_has_all,SFT,0.06597522327859406
gemma-7b_nl,1_easy_no_join,DPO,0.0
gemma-7b_nl,2_medium_join,DPO,0.0
gemma-7b_nl,3_has_aggr,DPO,0.0
gemma-7b_nl,4_has_union,DPO,-0.006109801867853731
gemma-7b_nl,5_has_all,DPO,0.003069700252798846
gemma-7b_sql,1_easy_no_join,SFT,0.1964912280701755
gemma-7b_sql,2_medium_join,SFT,0.15909090909090912
gemma-7b_sql,3_has_aggr,SFT,0.0
gemma-7b_sql,4_has_union,SFT,-0.17304209428681183
gemma-7b_sql,5_has_all,SFT,0.09831649831649836
gemma-7b_sql,1_easy_no_join,DPO,0.0
gemma-7b_sql,2_medium_join,DPO,0.13131313131313133
gemma-7b_sql,3_has_aggr,DPO,0.0
gemma-7b_sql,4_has_union,DPO,-0.05189834089355627
gemma-7b_sql,5_has_all,DPO,0.0016103059581320522
llama3-8b_nl,1_easy_no_join,SFT,0.018630136986301393
llama3-8b_nl,2_medium_join,SFT,0.08333333333333334
llama3-8b_nl,3_has_aggr,SFT,0.0
llama3-8b_nl,4_has_union,SFT,0.010534069573597232
llama3-8b_nl,5_has_all,SFT,0.0009561304836895324
llama3-8b_nl,1_easy_no_join,DPO,0.10403554239170681
llama3-8b_nl,2_medium_join,DPO,0.1
llama3-8b_nl,3_has_aggr,DPO,0.0
llama3-8b_nl,4_has_union,DPO,0.03846431526743416
llama3-8b_nl,5_has_all,DPO,-0.015748031496062992
llama3-8b_sql,1_easy_no_join,SFT,0.05555555555555558
llama3-8b_sql,2_medium_join,SFT,-0.2175066312997349
llama3-8b_sql,3_has_aggr,SFT,0.0
llama3-8b_sql,4_has_union,SFT,-0.036989046219609745
llama3-8b_sql,5_has_all,SFT,0.1184288118284984
llama3-8b_sql,1_easy_no_join,DPO,0.0292397660818714
llama3-8b_sql,2_medium_join,DPO,0.1907692307692308
llama3-8b_sql,3_has_aggr,DPO,0.0
llama3-8b_sql,4_has_union,DPO,-0.015610287400744771
llama3-8b_sql,5_has_all,DPO,-0.012297977899721868
qwen2.5-7b_nl,1_easy_no_join,SFT,-0.01810865191146871
qwen2.5-7b_nl,2_medium_join,SFT,0.005263157894736831
qwen2.5-7b_nl,3_has_aggr,SFT,0.0
qwen2.5-7b_nl,4_has_union,SFT,0.04031290347079819
qwen2.5-7b_nl,5_has_all,SFT,0.01706633992648343
qwen2.5-7b_nl,1_easy_no_join,DPO,-0.0947132067768931
qwen2.5-7b_nl,2_medium_join,DPO,0.1
qwen2.5-7b_nl,3_has_aggr,DPO,0.0
qwen2.5-7b_nl,4_has_union,DPO,0.01856836448487989
qwen2.5-7b_nl,5_has_all,DPO,0.11074450084602372
qwen2.5-7b_sql,1_easy_no_join,SFT,0.1193036354326677
qwen2.5-7b_sql,2_medium_join,SFT,0.2761904761904762
qwen2.5-7b_sql,3_has_aggr,SFT,0.0
qwen2.5-7b_sql,4_has_union,SFT,0.0394982916741593
qwen2.5-7b_sql,5_has_all,SFT,0.2044733502538072
qwen2.5-7b_sql,1_easy_no_join,DPO,0.4761290322580644
qwen2.5-7b_sql,2_medium_join,DPO,0.3714285714285714
qwen2.5-7b_sql,3_has_aggr,DPO,0.0
qwen2.5-7b_sql,4_has_union,DPO,0.05023936919177696
qwen2.5-7b_sql,5_has_all,DPO,0.35625000000000007
