model,dataset,category,count,parsing_failed,f1_result,f1_provenance,f1_both
base/nl,tpch,1_easy_no_join,4,0,0.0,1.0,0.0
base/nl,tpch,2_medium_join,2,1,0.0,0.0,0.0
base/nl,tpch,3_has_aggr,8,3,0.0,0.6363636363636365,0.0
base/nl,tpch,4_has_union,42,3,0.08695652173913042,0.6724890829694323,0.08695652173913042
base/nl,tpch,5_has_all,20,0,0.16216216216216217,0.8648648648648649,0.16216216216216217
base/nl,relstack,1_easy_no_join,5,0,0.5384615384615384,0.888888888888889,0.4444444444444445
base/nl,relstack,2_medium_join,2,1,0.0,0.0,0.0
base/nl,relstack,3_has_aggr,7,3,0.0,0.7272727272727272,0.0
base/nl,relstack,4_has_union,40,12,0.026315789473684216,0.6928104575163399,0.013071895424836602
base/nl,relstack,5_has_all,32,3,0.11475409836065573,0.5161290322580645,0.048
base/nl,relf1,1_easy_no_join,4,0,0.18181818181818182,1.0,0.18181818181818182
base/nl,relf1,2_medium_join,2,0,0.0,0.0,0.0
base/nl,relf1,3_has_aggr,8,1,0.0,0.6666666666666666,0.0
base/nl,relf1,4_has_union,43,2,0.09954751131221719,0.6578947368421052,0.09649122807017546
base/nl,relf1,5_has_all,22,0,0.025974025974025976,0.7435897435897436,0.02564102564102564
ft/def/new_negatives/nl/gemma7b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,0.0,1.0,0.0
ft/def/new_negatives/nl/gemma7b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,2_medium_join,2,0,0.0,0.0,0.0
ft/def/new_negatives/nl/gemma7b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,3_has_aggr,8,1,0.0,0.7333333333333333,0.0
ft/def/new_negatives/nl/gemma7b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,4_has_union,42,3,0.07792207792207792,0.6608695652173913,0.07792207792207792
ft/def/new_negatives/nl/gemma7b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,5_has_all,20,0,0.15789473684210525,0.868421052631579,0.15789473684210525
ft/def/new_negatives/nl/gemma7b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relstack,1_easy_no_join,5,0,0.5384615384615384,0.888888888888889,0.4444444444444445
ft/def/new_negatives/nl/gemma7b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relstack,2_medium_join,2,0,0.0,0.0,0.0
ft/def/new_negatives/nl/gemma7b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relstack,3_has_aggr,7,2,0.0,0.823529411764706,0.0
ft/def/new_negatives/nl/gemma7b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relstack,4_has_union,40,10,0.022988505747126436,0.6514285714285714,0.01142857142857143
