model,dataset,category,count,parsing_failed,f1_result,f1_provenance,f1_both
base/sql,tpch,1_easy_no_join,4,0,1.0,1.0,1.0
base/sql,tpch,2_medium_join,2,1,1.0,0.0,0.0
base/sql,tpch,3_has_aggr,8,3,0.0,0.5,0.0
base/sql,tpch,4_has_union,42,9,0.7604166666666666,0.8186528497409326,0.6839378238341969
base/sql,tpch,5_has_all,20,0,0.8421052631578947,0.736842105263158,0.6233766233766234
base/sql,relstack,1_easy_no_join,5,0,0.5384615384615384,0.888888888888889,0.4444444444444445
base/sql,relstack,2_medium_join,2,0,0.0,0.0,0.0
base/sql,relstack,3_has_aggr,7,3,0.0,0.8571428571428571,0.0
base/sql,relstack,4_has_union,40,12,0.5897435897435898,0.7307692307692306,0.5095541401273885
base/sql,relstack,5_has_all,32,4,0.4999999999999999,0.6065573770491803,0.32786885245901637
base/sql,relf1,1_easy_no_join,4,0,0.6363636363636364,1.0,0.6363636363636364
base/sql,relf1,2_medium_join,2,0,0.0,0.0,0.0
base/sql,relf1,3_has_aggr,8,2,0.0,0.8823529411764706,0.0
base/sql,relf1,4_has_union,43,8,0.6630434782608695,0.6739130434782609,0.5081081081081081
base/sql,relf1,5_has_all,22,1,0.4864864864864865,0.8648648648648649,0.43243243243243246
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,1.0,1.0,1.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,2_medium_join,2,1,1.0,0.0,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,3_has_aggr,8,1,0.0,0.6,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,4_has_union,42,5,0.6606334841628959,0.8054298642533937,0.6425339366515838
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,5_has_all,20,0,0.8421052631578947,0.7272727272727273,0.6233766233766234
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,1_easy_no_join,5,0,0.5384615384615384,0.888888888888889,0.4444444444444445
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,2_medium_join,2,0,0.0,0.0,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,3_has_aggr,7,2,0.0,0.7058823529411765,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,4_has_union,40,9,0.5573770491803278,0.7032967032967032,0.4891304347826087
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,5_has_all,32,5,0.47457627118644075,0.6666666666666667,0.36666666666666664
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.6363636363636364,1.0,0.6363636363636364
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relf1,2_medium_join,2,0,0.0,0.0,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relf1,3_has_aggr,8,1,0.0,0.7692307692307692,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relf1,4_has_union,43,4,0.6330275229357798,0.7671232876712327,0.5363636363636363
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relf1,5_has_all,22,0,0.4878048780487805,0.9024390243902439,0.4390243902439024
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,1.0,1.0,1.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,tpch,2_medium_join,2,0,0.5,0.0,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,tpch,3_has_aggr,8,1,0.0,0.7333333333333333,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,tpch,4_has_union,42,5,0.6244343891402715,0.8144796380090498,0.6063348416289592
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,tpch,5_has_all,20,0,0.8421052631578947,0.7733333333333334,0.6578947368421052
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relstack,1_easy_no_join,5,0,0.5384615384615384,0.888888888888889,0.4444444444444445
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relstack,2_medium_join,2,0,0.0,0.0,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relstack,3_has_aggr,7,1,0.0,0.8,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relstack,4_has_union,40,9,0.5573770491803278,0.6961325966850829,0.4918032786885246
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relstack,5_has_all,32,4,0.5196850393700787,0.6875,0.39062499999999994
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.36363636363636365,1.0,0.36363636363636365
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,2_medium_join,2,0,0.0,0.0,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,3_has_aggr,8,1,0.0,0.7317073170731706,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,4_has_union,43,3,0.6086956521739131,0.7947598253275109,0.5217391304347827
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,5_has_all,22,1,0.4657534246575342,0.8493150684931507,0.4109589041095891
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,1.0,1.0,1.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,2_medium_join,2,2,0.0,0.0,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,3_has_aggr,8,2,0.0,0.6428571428571429,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,4_has_union,42,6,0.5700934579439252,0.8317757009345794,0.5607476635514018
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,5_has_all,20,0,0.8421052631578947,0.7272727272727273,0.6233766233766234
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,1_easy_no_join,5,0,0.5384615384615384,0.888888888888889,0.4444444444444445
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,2_medium_join,2,0,0.0,0.0,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,3_has_aggr,7,2,0.0,0.9090909090909091,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,4_has_union,40,9,0.5524861878453039,0.7039106145251396,0.4835164835164835
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,5_has_all,32,5,0.48739495798319327,0.6666666666666667,0.36666666666666664
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.6363636363636364,1.0,0.6363636363636364
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,2_medium_join,2,0,0.0,0.0,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,3_has_aggr,8,1,0.0,0.7500000000000001,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,4_has_union,43,6,0.5970149253731343,0.7487684729064039,0.4926108374384237
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,5_has_all,22,0,0.41975308641975306,0.9382716049382716,0.3703703703703704
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,1.0,1.0,1.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,tpch,2_medium_join,2,0,1.0,0.0,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,tpch,3_has_aggr,8,2,0.0,0.7857142857142857,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,tpch,4_has_union,42,7,0.6666666666666666,0.8212560386473431,0.6473429951690821
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,tpch,5_has_all,20,0,0.8421052631578947,0.7733333333333334,0.6578947368421052
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,relstack,1_easy_no_join,5,0,0.5384615384615384,0.888888888888889,0.4444444444444445
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,relstack,2_medium_join,2,0,0.0,0.0,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,relstack,3_has_aggr,7,1,0.0,0.8,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,relstack,4_has_union,40,10,0.5780346820809248,0.7325581395348836,0.508670520231214
