model,category,count,f1_result,f1_provenance,f1_both
base/sql,1_easy_no_join,13,0.7368421052631579,0.9610389610389611,0.7012987012987013
base/sql,2_medium_join,6,0.0909090909090909,0.0,0.0
base/sql,3_has_aggr,23,0.0,0.7647058823529412,0.0
base/sql,4_has_union,125,0.6766917293233082,0.7429643527204504,0.57196261682243
base/sql,5_has_all,74,0.5925925925925926,0.7132352941176471,0.43956043956043955
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,1_easy_no_join,13,0.7368421052631579,0.9610389610389611,0.7012987012987013
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,2_medium_join,6,0.0909090909090909,0.0,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,3_has_aggr,23,0.0,0.6976744186046512,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,4_has_union,125,0.6205787781350481,0.7620578778135048,0.5599999999999999
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,5_has_all,74,0.5797101449275364,0.7526881720430108,0.45878136200716846
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,1_easy_no_join,13,0.6578947368421053,0.9610389610389611,0.6233766233766234
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,2_medium_join,6,0.08333333333333334,0.0,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,3_has_aggr,23,0.0,0.75,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,4_has_union,125,0.5993690851735015,0.7733755942947702,0.5425867507886435
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,5_has_all,74,0.5942028985507246,0.7536231884057971,0.4693140794223827
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,1_easy_no_join,13,0.7368421052631579,0.9610389610389611,0.7012987012987013
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,2_medium_join,6,0.0,0.0,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,3_has_aggr,23,0.0,0.7555555555555555,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,4_has_union,125,0.5738255033557047,0.7651006711409397,0.5141903171953255
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,5_has_all,74,0.5652173913043478,0.7625899280575539,0.43884892086330934
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,1_easy_no_join,13,0.6578947368421053,0.9610389610389611,0.6233766233766234
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,2_medium_join,6,0.22222222222222224,0.0,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,3_has_aggr,23,0.0,0.7659574468085105,0.0
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,4_has_union,125,0.624793388429752,0.778877887788779,0.5634266886326195
ft/def/new_negatives/sql/gemma7b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,5_has_all,74,0.5454545454545454,0.7681159420289855,0.4115523465703972
ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,1_easy_no_join,13,0.8571428571428572,1.0,0.8399999999999999
ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,2_medium_join,6,0.25,0.0,0.0
ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,3_has_aggr,23,0.0,0.8333333333333334,0.0
ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,4_has_union,125,0.5036496350364964,0.7765567765567766,0.4565217391304348
ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep1,5_has_all,74,0.6909090909090909,0.8867924528301887,0.6306306306306306
ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep2,1_easy_no_join,13,0.9333333333333333,0.9508196721311476,0.8852459016393444
ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep2,2_medium_join,6,0.1111111111111111,0.0,0.0
ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep2,3_has_aggr,23,0.0,0.5333333333333333,0.0
ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep2,4_has_union,125,0.471976401179941,0.7705882352941178,0.4588235294117647
ft/def/new_negatives/sql/gemma7b_sft_lora_chat_template_sql_ep2,5_has_all,74,0.4666666666666667,0.8571428571428571,0.4333333333333333
