model,dataset,category,count,parsing_failed,f1_result,f1_provenance,f1_both
base/nl,tpch,1_easy_no_join,4,0,0.2857142857142857,1.0,0.2857142857142857
base/nl,tpch,2_medium_join,2,0,0.0,0.0,0.0
base/nl,tpch,3_has_aggr,8,0,0.0,0.45161290322580644,0.0
base/nl,tpch,4_has_union,42,0,0.12307692307692307,0.6,0.09230769230769231
base/nl,tpch,5_has_all,20,0,0.15625,0.4375,0.03125
base/nl,relstack,1_easy_no_join,5,0,0.41666666666666663,0.8,0.32
base/nl,relstack,2_medium_join,2,0,0.0,0.42857142857142855,0.0
base/nl,relstack,3_has_aggr,7,0,0.0,0.6875000000000001,0.0
base/nl,relstack,4_has_union,40,2,0.18623481781376516,0.5564516129032259,0.12096774193548387
base/nl,relstack,5_has_all,32,1,0.28571428571428575,0.40322580645161293,0.17741935483870966
base/nl,relf1,1_easy_no_join,4,0,0.1904761904761905,0.9523809523809523,0.1904761904761905
base/nl,relf1,2_medium_join,2,0,0.0,0.5714285714285715,0.0
base/nl,relf1,3_has_aggr,8,1,0.0,0.5,0.0
base/nl,relf1,4_has_union,43,0,0.20512820512820515,0.6837606837606838,0.18803418803418803
base/nl,relf1,5_has_all,22,0,0.16901408450704225,0.75,0.1388888888888889
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,0.5,1.0,0.5
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,2_medium_join,2,0,0.5,0.0,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,3_has_aggr,8,2,0.0,0.5714285714285715,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,4_has_union,42,5,0.17054263565891475,0.6639344262295082,0.16988416988416988
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,5_has_all,20,5,0.17391304347826086,0.7246376811594203,0.17391304347826086
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relstack,1_easy_no_join,5,0,0.38461538461538464,0.888888888888889,0.29629629629629634
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relstack,2_medium_join,2,0,0.0,0.5454545454545454,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relstack,3_has_aggr,7,1,0.0,0.5263157894736842,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relstack,4_has_union,40,3,0.11583011583011582,0.5289256198347109,0.08494208494208494
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relstack,5_has_all,32,4,0.21374045801526717,0.6060606060606061,0.07352941176470588
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.18181818181818182,1.0,0.18181818181818182
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relf1,2_medium_join,2,1,0.0,0.8571428571428571,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relf1,3_has_aggr,8,2,0.0,0.4615384615384615,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relf1,4_has_union,43,6,0.24369747899159663,0.8347107438016529,0.23966942148760334
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relf1,5_has_all,22,3,0.16666666666666663,0.8108108108108107,0.16216216216216214
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,0.5,1.0,0.5
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,tpch,2_medium_join,2,1,0.6666666666666666,0.8571428571428571,0.8571428571428571
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,tpch,3_has_aggr,8,2,0.0,0.6470588235294118,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,tpch,4_has_union,42,4,0.2366412213740458,0.8015564202334632,0.22813688212927757
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,tpch,5_has_all,20,6,0.3116883116883117,0.7012987012987014,0.3116883116883117
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relstack,1_easy_no_join,5,1,0.48000000000000004,0.923076923076923,0.4615384615384615
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relstack,2_medium_join,2,1,0.0,0.6,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relstack,3_has_aggr,7,4,0.0,0.782608695652174,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relstack,4_has_union,40,10,0.061403508771929835,0.6036036036036035,0.04291845493562232
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relstack,5_has_all,32,11,0.16949152542372883,0.6551724137931035,0.11864406779661017
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.1904761904761905,0.8571428571428572,0.1904761904761905
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relf1,2_medium_join,2,1,0.0,0.8571428571428571,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relf1,3_has_aggr,8,4,0.0,0.42424242424242425,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relf1,4_has_union,43,10,0.18181818181818182,0.8138528138528139,0.18181818181818182
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relf1,5_has_all,22,9,0.11594202898550725,0.7536231884057972,0.08695652173913043
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,0.5,1.0,0.5
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,tpch,2_medium_join,2,1,0.6666666666666666,0.8571428571428571,0.8571428571428571
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,tpch,3_has_aggr,8,2,0.0,0.6285714285714286,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,tpch,4_has_union,42,6,0.2890625,0.8207171314741036,0.28125
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,tpch,5_has_all,20,6,0.3116883116883117,0.7012987012987014,0.3116883116883117
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relstack,1_easy_no_join,5,1,0.48000000000000004,0.923076923076923,0.4615384615384615
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relstack,2_medium_join,2,0,0.0,0.42857142857142855,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relstack,3_has_aggr,7,4,0.0,0.782608695652174,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relstack,4_has_union,40,8,0.11715481171548119,0.6026200873362445,0.09876543209876543
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relstack,5_has_all,32,10,0.18333333333333332,0.7288135593220338,0.15
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.1904761904761905,0.8571428571428572,0.1904761904761905
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relf1,2_medium_join,2,1,0.0,0.5714285714285715,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relf1,3_has_aggr,8,3,0.0,0.5405405405405406,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relf1,4_has_union,43,9,0.21367521367521367,0.8547008547008547,0.21367521367521367
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relf1,5_has_all,22,10,0.11764705882352941,0.7352941176470589,0.08823529411764705
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,0.5,1.0,0.5
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,tpch,2_medium_join,2,1,0.6666666666666666,0.8571428571428571,0.8571428571428571
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,tpch,3_has_aggr,8,2,0.0,0.6285714285714286,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,tpch,4_has_union,42,4,0.282442748091603,0.8062015503875968,0.2737642585551331
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,tpch,5_has_all,20,8,0.375,0.7187499999999999,0.375
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relstack,1_easy_no_join,5,1,0.48000000000000004,0.923076923076923,0.4615384615384615
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relstack,2_medium_join,2,1,0.0,0.6,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relstack,3_has_aggr,7,4,0.0,0.782608695652174,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relstack,4_has_union,40,11,0.15517241379310348,0.5638766519823788,0.11666666666666667
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relstack,5_has_all,32,10,0.16393442622950818,0.7,0.13114754098360656
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.18181818181818182,0.7000000000000001,0.18181818181818182
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relf1,2_medium_join,2,1,0.0,0.5714285714285715,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relf1,3_has_aggr,8,3,0.0,0.5405405405405406,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relf1,4_has_union,43,8,0.17647058823529413,0.8067226890756304,0.17647058823529413
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relf1,5_has_all,22,10,0.11764705882352941,0.7352941176470589,0.08823529411764705
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,tpch,1_easy_no_join,4,0,0.5,1.0,0.5
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,tpch,2_medium_join,2,0,0.4,0.0,0.0
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,tpch,3_has_aggr,8,0,0.0,0.8125,0.0
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,tpch,4_has_union,42,2,0.12048192771084337,0.6639676113360323,0.11952191235059761
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,tpch,5_has_all,20,3,0.14285714285714285,0.6285714285714286,0.11428571428571428
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relstack,1_easy_no_join,5,0,0.4,0.8461538461538461,0.30769230769230765
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relstack,2_medium_join,2,0,0.0,0.42857142857142855,0.0
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relstack,3_has_aggr,7,0,0.0,0.7586206896551724,0.0
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relstack,4_has_union,40,9,0.1518987341772152,0.5440613026819924,0.10727969348659004
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relstack,5_has_all,32,3,0.24615384615384617,0.5230769230769231,0.07575757575757576
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relf1,1_easy_no_join,4,0,0.0,1.0,0.0
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relf1,2_medium_join,2,1,0.0,0.4,0.0
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relf1,3_has_aggr,8,1,0.0,0.5499999999999999,0.0
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relf1,4_has_union,43,0,0.2693877551020408,0.7054263565891473,0.22393822393822396
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relf1,5_has_all,22,2,0.25,0.810126582278481,0.20000000000000004
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,tpch,1_easy_no_join,4,0,0.5,1.0,0.5
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,tpch,2_medium_join,2,1,0.6666666666666666,0.0,0.0
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,tpch,3_has_aggr,8,0,0.0,0.5714285714285715,0.0
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,tpch,4_has_union,42,4,0.1832669322709163,0.6772908366533865,0.15139442231075698
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,tpch,5_has_all,20,0,0.10810810810810811,0.8108108108108109,0.10810810810810811
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relstack,1_easy_no_join,5,1,0.34782608695652173,0.8333333333333333,0.3333333333333333
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relstack,2_medium_join,2,0,0.0,0.5454545454545454,0.0
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relstack,3_has_aggr,7,1,0.0,0.5,0.0
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relstack,4_has_union,40,8,0.07317073170731708,0.5101214574898786,0.06477732793522266
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relstack,5_has_all,32,3,0.20155038759689922,0.6141732283464567,0.12403100775193798
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relf1,1_easy_no_join,4,0,0.0,1.0,0.0
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relf1,2_medium_join,2,0,0.0,0.75,0.0
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relf1,3_has_aggr,8,2,0.0,0.8571428571428571,0.0
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relf1,4_has_union,43,0,0.24096385542168675,0.7791164658634538,0.2329317269076305
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relf1,5_has_all,22,0,0.26666666666666666,0.7466666666666666,0.18666666666666665
