model,category,count,f1_result,f1_provenance,f1_both
base/nl,1_easy_no_join,13,0.3013698630136986,0.9189189189189189,0.27027027027027023
base/nl,2_medium_join,6,0.0,0.3703703703703704,0.0
base/nl,3_has_aggr,23,0.0,0.5454545454545454,0.0
base/nl,4_has_union,125,0.17004048582995954,0.6118598382749326,0.1320754716981132
base/nl,5_has_all,74,0.2204724409448819,0.5076923076923077,0.13076923076923078
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,1_easy_no_join,13,0.3684210526315789,0.9610389610389611,0.33766233766233766
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,2_medium_join,6,0.08333333333333334,0.4615384615384615,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,3_has_aggr,23,0.0,0.5142857142857143,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,4_has_union,125,0.17483443708609273,0.6758241758241758,0.1631578947368421
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,5_has_all,74,0.19117647058823528,0.6909090909090909,0.12186379928315412
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,1_easy_no_join,13,0.40540540540540543,0.9333333333333333,0.4
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,2_medium_join,6,0.1,0.7499999999999999,0.25
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,3_has_aggr,23,0.0,0.6,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,4_has_union,125,0.16366158113730928,0.7436619718309859,0.15405777166437415
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,5_has_all,74,0.19696969696969696,0.6946564885496184,0.16666666666666666
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,1_easy_no_join,13,0.40540540540540543,0.9333333333333333,0.4
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,2_medium_join,6,0.08333333333333334,0.5714285714285715,0.21428571428571427
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,3_has_aggr,23,0.0,0.631578947368421,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,4_has_union,125,0.2085048010973937,0.7619047619047619,0.19918144611186905
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,5_has_all,74,0.20377358490566036,0.7224334600760457,0.1811320754716981
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,1_easy_no_join,13,0.4,0.8918918918918919,0.39473684210526316
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,2_medium_join,6,0.1,0.6666666666666667,0.25
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,3_has_aggr,23,0.0,0.631578947368421,0.0
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,4_has_union,125,0.2076502732240437,0.7302904564315352,0.19163292847503374
ft/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,5_has_all,74,0.2047244094488189,0.7142857142857144,0.1811023622047244
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,1_easy_no_join,13,0.32,0.9473684210526315,0.2894736842105264
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,2_medium_join,6,0.08333333333333334,0.30769230769230765,0.0
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,3_has_aggr,23,0.0,0.6930693069306931,0.0
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,4_has_union,125,0.18057455540355677,0.6370757180156658,0.1504539559014267
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,5_has_all,74,0.22142857142857142,0.6308243727598566,0.12056737588652482
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,1_easy_no_join,13,0.3013698630136986,0.945945945945946,0.29729729729729726
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,2_medium_join,6,0.08,0.5,0.0
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,3_has_aggr,23,0.0,0.6808510638297872,0.0
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,4_has_union,125,0.16621983914209115,0.6559571619812584,0.1499330655957162
ft/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,5_has_all,74,0.19424460431654675,0.7028985507246377,0.1366906474820144
