model,dataset,category,count,parsing_failed,f1_result,f1_provenance,f1_both
base/sql,tpch,1_easy_no_join,4,0,1.0,0.2857142857142857,0.2857142857142857
base/sql,tpch,2_medium_join,2,0,1.0,0.3333333333333333,0.3333333333333333
base/sql,tpch,3_has_aggr,8,0,0.0,0.7096774193548386,0.0
base/sql,tpch,4_has_union,42,1,0.7413127413127413,0.5846153846153845,0.5076923076923077
base/sql,tpch,5_has_all,20,0,0.7692307692307693,0.3692307692307692,0.3692307692307692
base/sql,relstack,1_easy_no_join,5,0,0.8181818181818181,0.8333333333333333,0.8333333333333333
base/sql,relstack,2_medium_join,2,0,0.5714285714285714,0.42857142857142855,0.0
base/sql,relstack,3_has_aggr,7,1,0.0,0.45454545454545453,0.0
base/sql,relstack,4_has_union,40,4,0.5943775100401607,0.6159999999999999,0.488
base/sql,relstack,5_has_all,32,2,0.5593220338983051,0.6178861788617886,0.45161290322580644
base/sql,relf1,1_easy_no_join,4,0,1.0,1.0,1.0
base/sql,relf1,2_medium_join,2,0,1.0,0.25,0.25
base/sql,relf1,3_has_aggr,8,1,0.0,0.5945945945945945,0.0
base/sql,relf1,4_has_union,43,0,0.9285714285714286,0.753968253968254,0.7401574803149606
base/sql,relf1,5_has_all,22,0,0.7352941176470589,0.588235294117647,0.5
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,1.0,1.0,1.0
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,2_medium_join,2,0,1.0,0.2,0.2
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,3_has_aggr,8,1,0.0,0.8387096774193549,0.0
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,4_has_union,42,3,0.7686274509803922,0.7649402390438246,0.6875
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,5_has_all,20,5,0.7812500000000001,0.6451612903225806,0.625
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,1_easy_no_join,5,0,0.9230769230769231,0.6666666666666666,0.5185185185185186
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,2_medium_join,2,0,1.0,0.5454545454545454,0.42857142857142855
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,3_has_aggr,7,1,0.0,0.7692307692307692,0.0
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,4_has_union,40,7,0.5655737704918034,0.5739910313901346,0.4471544715447155
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,5_has_all,32,8,0.4878048780487805,0.5593220338983051,0.304
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.7272727272727273,0.7368421052631579,0.36363636363636365
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relf1,2_medium_join,2,0,0.25,0.0,0.0
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relf1,3_has_aggr,8,1,0.0,0.8444444444444444,0.0
