model,category,count,f1_result,f1_provenance,f1_both
base/sql,1_easy_no_join,13,0.9444444444444444,0.6756756756756757,0.6756756756756757
base/sql,2_medium_join,6,0.7692307692307693,0.3571428571428571,0.14285714285714288
base/sql,3_has_aggr,23,0.0,0.6,0.0
base/sql,4_has_union,125,0.7552631578947367,0.6509186351706037,0.5785340314136125
base/sql,5_has_all,74,0.6613545816733067,0.546875,0.443579766536965
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,1_easy_no_join,13,0.8947368421052632,0.8169014084507042,0.6493506493506495
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,2_medium_join,6,0.7692307692307693,0.2962962962962963,0.25
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,3_has_aggr,23,0.0,0.823529411764706,0.0
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,4_has_union,125,0.739652870493992,0.7336122733612274,0.6382978723404256
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,5_has_all,74,0.6490566037735849,0.6640624999999999,0.47940074906367036
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,1_easy_no_join,13,0.9736842105263158,0.9610389610389611,0.935064935064935
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,2_medium_join,6,0.9600000000000001,0.5128205128205129,0.4878048780487804
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,3_has_aggr,23,0.0,0.826923076923077,0.0
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,4_has_union,125,0.7218628719275549,0.7934782608695651,0.6494845360824743
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,5_has_all,74,0.6209386281588447,0.8394160583941606,0.5611510791366907
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,1_easy_no_join,13,0.8947368421052632,0.8169014084507042,0.6493506493506495
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,2_medium_join,6,0.7692307692307693,0.2962962962962963,0.25
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,3_has_aggr,23,0.0,0.823529411764706,0.0
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,4_has_union,125,0.7347480106100797,0.7348066298342542,0.6306068601583114
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,5_has_all,74,0.6315789473684211,0.6299212598425197,0.4328358208955224
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,1_easy_no_join,13,0.8947368421052632,0.9610389610389611,0.8571428571428572
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,2_medium_join,6,0.9600000000000001,0.34285714285714286,0.3243243243243243
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,3_has_aggr,23,0.0,0.8155339805825242,0.0
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,4_has_union,125,0.7294117647058823,0.7950819672131149,0.6571428571428571
ft/new_negatives/sql/llama3_8b_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,5_has_all,74,0.6353790613718412,0.8394160583941606,0.5755395683453237
ft/new_negatives/sql/llama3_8b_sft_lora_chat_template_sql_ep1,1_easy_no_join,13,0.8333333333333333,0.9315068493150686,0.8219178082191781
ft/new_negatives/sql/llama3_8b_sft_lora_chat_template_sql_ep1,2_medium_join,6,0.5517241379310344,0.43750000000000006,0.375
ft/new_negatives/sql/llama3_8b_sft_lora_chat_template_sql_ep1,3_has_aggr,23,0.0,0.3300970873786408,0.0
ft/new_negatives/sql/llama3_8b_sft_lora_chat_template_sql_ep1,4_has_union,125,0.718274111675127,0.6904458598726115,0.5952080706179067
ft/new_negatives/sql/llama3_8b_sft_lora_chat_template_sql_ep1,5_has_all,74,0.6937269372693727,0.6520146520146519,0.5547445255474454
ft/new_negatives/sql/llama3_8b_sft_lora_chat_template_sql_ep2,1_easy_no_join,13,1.0,0.9610389610389611,0.9610389610389611
ft/new_negatives/sql/llama3_8b_sft_lora_chat_template_sql_ep2,2_medium_join,6,0.303030303030303,0.34285714285714286,0.16666666666666666
ft/new_negatives/sql/llama3_8b_sft_lora_chat_template_sql_ep2,3_has_aggr,23,0.0,0.4175824175824176,0.0
ft/new_negatives/sql/llama3_8b_sft_lora_chat_template_sql_ep2,4_has_union,125,0.6727748691099477,0.7188703465982027,0.5717948717948719
ft/new_negatives/sql/llama3_8b_sft_lora_chat_template_sql_ep2,5_has_all,74,0.7797833935018051,0.7163120567375887,0.6382978723404255
