model,dataset,category,count,parsing_failed,f1_result,f1_provenance,f1_both
base/nl,tpch,1_easy_no_join,4,0,0.2857142857142857,1.0,0.2857142857142857
base/nl,tpch,2_medium_join,2,0,0.0,0.0,0.0
base/nl,tpch,3_has_aggr,8,0,0.0,0.45161290322580644,0.0
base/nl,tpch,4_has_union,42,0,0.12307692307692307,0.6,0.09230769230769231
base/nl,tpch,5_has_all,20,0,0.15625,0.4375,0.03125
base/nl,relstack,1_easy_no_join,5,0,0.41666666666666663,0.8,0.32
base/nl,relstack,2_medium_join,2,0,0.0,0.42857142857142855,0.0
base/nl,relstack,3_has_aggr,7,0,0.0,0.6875000000000001,0.0
base/nl,relstack,4_has_union,40,2,0.18623481781376516,0.5564516129032259,0.12096774193548387
base/nl,relstack,5_has_all,32,1,0.28571428571428575,0.40322580645161293,0.17741935483870966
base/nl,relf1,1_easy_no_join,4,0,0.1904761904761905,0.9523809523809523,0.1904761904761905
base/nl,relf1,2_medium_join,2,0,0.0,0.5714285714285715,0.0
base/nl,relf1,3_has_aggr,8,1,0.0,0.5,0.0
base/nl,relf1,4_has_union,43,0,0.20512820512820515,0.6837606837606838,0.18803418803418803
base/nl,relf1,5_has_all,22,0,0.16901408450704225,0.75,0.1388888888888889
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,0.5,1.0,0.5
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,2_medium_join,2,1,0.6666666666666666,0.8571428571428571,0.8571428571428571
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,3_has_aggr,8,1,0.0,0.967741935483871,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,4_has_union,42,6,0.21343873517786563,0.8063241106719368,0.21343873517786563
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,5_has_all,20,6,0.27272727272727276,0.787878787878788,0.27272727272727276
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relstack,1_easy_no_join,5,1,0.32,0.923076923076923,0.30769230769230765
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relstack,2_medium_join,2,1,0.0,0.6,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relstack,3_has_aggr,7,3,0.0,0.5142857142857143,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relstack,4_has_union,40,13,0.0873015873015873,0.5599999999999999,0.07936507936507936
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relstack,5_has_all,32,9,0.2047244094488189,0.7401574803149606,0.1889763779527559
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.18181818181818182,0.9565217391304348,0.17391304347826086
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relf1,2_medium_join,2,0,0.0,1.0,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relf1,3_has_aggr,8,3,0.0,0.48648648648648646,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relf1,4_has_union,43,4,0.192,0.8764940239043825,0.1912350597609562
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relf1,5_has_all,22,10,0.11267605633802817,0.8169014084507041,0.11267605633802817
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,0.5,1.0,0.5
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,tpch,2_medium_join,2,1,0.6666666666666666,0.8571428571428571,0.8571428571428571
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,tpch,3_has_aggr,8,2,0.0,0.9333333333333333,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,tpch,4_has_union,42,4,0.2330827067669173,0.7436823104693141,0.21660649819494585
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,tpch,5_has_all,20,5,0.3142857142857143,0.7714285714285715,0.2857142857142857
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relstack,1_easy_no_join,5,1,0.32,0.923076923076923,0.30769230769230765
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relstack,2_medium_join,2,0,0.0,0.42857142857142855,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relstack,3_has_aggr,7,4,0.0,0.782608695652174,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relstack,4_has_union,40,13,0.09523809523809523,0.6278026905829597,0.08658008658008656
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relstack,5_has_all,32,9,0.2047244094488189,0.7286821705426356,0.18604651162790697
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.18181818181818182,0.9565217391304348,0.17391304347826086
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relf1,2_medium_join,2,0,0.0,1.0,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relf1,3_has_aggr,8,3,0.0,0.48648648648648646,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relf1,4_has_union,43,7,0.19834710743801653,0.8347107438016529,0.19834710743801653
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relf1,5_has_all,22,11,0.08571428571428572,0.8,0.08571428571428572
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,0.2857142857142857,1.0,0.2857142857142857
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,tpch,2_medium_join,2,0,0.5,0.0,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,tpch,3_has_aggr,8,0,0.0,0.742857142857143,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,tpch,4_has_union,42,1,0.09160305343511452,0.7739463601532567,0.09160305343511452
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,tpch,5_has_all,20,0,0.2191780821917808,0.7397260273972601,0.16438356164383564
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relstack,1_easy_no_join,5,1,0.32,0.923076923076923,0.30769230769230765
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relstack,2_medium_join,2,0,0.0,0.33333333333333326,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relstack,3_has_aggr,7,0,0.0,0.7058823529411764,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relstack,4_has_union,40,3,0.1976284584980237,0.5551601423487545,0.14184397163120568
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relstack,5_has_all,32,5,0.23140495867768596,0.6456692913385826,0.14173228346456693
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.1904761904761905,0.9523809523809523,0.1904761904761905
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relf1,2_medium_join,2,0,0.0,1.0,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relf1,3_has_aggr,8,1,0.0,0.5945945945945945,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relf1,4_has_union,43,1,0.2125984251968504,0.8286852589641434,0.2125984251968504
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,relf1,5_has_all,22,0,0.18421052631578944,0.8421052631578948,0.15789473684210525
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,0.5,1.0,0.5
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,tpch,2_medium_join,2,1,0.6666666666666666,0.8571428571428571,0.8571428571428571
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,tpch,3_has_aggr,8,3,0.0,0.896551724137931,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,tpch,4_has_union,42,6,0.1937984496124031,0.768060836501901,0.19011406844106468
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,tpch,5_has_all,20,5,0.3142857142857143,0.7714285714285715,0.2857142857142857
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relstack,1_easy_no_join,5,1,0.32,0.923076923076923,0.30769230769230765
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relstack,2_medium_join,2,0,0.0,0.42857142857142855,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relstack,3_has_aggr,7,4,0.0,0.782608695652174,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relstack,4_has_union,40,13,0.09482758620689655,0.6548672566371682,0.08620689655172413
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relstack,5_has_all,32,9,0.20155038759689922,0.7286821705426356,0.18604651162790697
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.18181818181818182,0.9565217391304348,0.17391304347826086
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relf1,2_medium_join,2,0,0.0,1.0,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relf1,3_has_aggr,8,4,0.0,0.5,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relf1,4_has_union,43,5,0.19354838709677422,0.8582995951417003,0.19354838709677422
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,relf1,5_has_all,22,11,0.08571428571428572,0.8,0.08571428571428572
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,tpch,1_easy_no_join,4,0,0.5,1.0,0.5
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,tpch,2_medium_join,2,0,0.4,0.0,0.0
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,tpch,3_has_aggr,8,0,0.0,0.8125,0.0
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,tpch,4_has_union,42,2,0.12048192771084337,0.6639676113360323,0.11952191235059761
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,tpch,5_has_all,20,3,0.14285714285714285,0.6285714285714286,0.11428571428571428
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relstack,1_easy_no_join,5,0,0.4,0.8461538461538461,0.30769230769230765
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relstack,2_medium_join,2,0,0.0,0.42857142857142855,0.0
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relstack,3_has_aggr,7,0,0.0,0.7586206896551724,0.0
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relstack,4_has_union,40,9,0.1518987341772152,0.5440613026819924,0.10727969348659004
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relstack,5_has_all,32,3,0.24615384615384617,0.5230769230769231,0.07575757575757576
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relf1,1_easy_no_join,4,0,0.0,1.0,0.0
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relf1,2_medium_join,2,1,0.0,0.4,0.0
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relf1,3_has_aggr,8,1,0.0,0.5499999999999999,0.0
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relf1,4_has_union,43,0,0.2693877551020408,0.7054263565891473,0.22393822393822396
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,relf1,5_has_all,22,2,0.25,0.810126582278481,0.20000000000000004
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,tpch,1_easy_no_join,4,0,0.5,1.0,0.5
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,tpch,2_medium_join,2,1,0.6666666666666666,0.0,0.0
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,tpch,3_has_aggr,8,0,0.0,0.5714285714285715,0.0
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,tpch,4_has_union,42,4,0.1832669322709163,0.6772908366533865,0.15139442231075698
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,tpch,5_has_all,20,0,0.10810810810810811,0.8108108108108109,0.10810810810810811
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relstack,1_easy_no_join,5,1,0.34782608695652173,0.8333333333333333,0.3333333333333333
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relstack,2_medium_join,2,0,0.0,0.5454545454545454,0.0
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relstack,3_has_aggr,7,1,0.0,0.5,0.0
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relstack,4_has_union,40,8,0.07317073170731708,0.5101214574898786,0.06477732793522266
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relstack,5_has_all,32,3,0.20155038759689922,0.6141732283464567,0.12403100775193798
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relf1,1_easy_no_join,4,0,0.0,1.0,0.0
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relf1,2_medium_join,2,0,0.0,0.75,0.0
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relf1,3_has_aggr,8,2,0.0,0.8571428571428571,0.0
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relf1,4_has_union,43,0,0.24096385542168675,0.7791164658634538,0.2329317269076305
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,relf1,5_has_all,22,0,0.26666666666666666,0.7466666666666666,0.18666666666666665
