model,category,count,f1_result,f1_provenance,f1_both
base/nl,1_easy_no_join,13,0.3013698630136986,0.9189189189189189,0.27027027027027023
base/nl,2_medium_join,6,0.0,0.3703703703703704,0.0
base/nl,3_has_aggr,23,0.0,0.5454545454545454,0.0
base/nl,4_has_union,125,0.17004048582995954,0.6118598382749326,0.1320754716981132
base/nl,5_has_all,74,0.2204724409448819,0.5076923076923077,0.13076923076923078
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,1_easy_no_join,13,0.3466666666666667,0.9610389610389611,0.33766233766233766
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,2_medium_join,6,0.09523809523809525,0.8,0.24
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,3_has_aggr,23,0.0,0.6407766990291262,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,4_has_union,125,0.16423841059602648,0.7480106100795756,0.16137566137566137
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,5_has_all,74,0.19696969696969696,0.7727272727272728,0.1893939393939394
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,1_easy_no_join,13,0.3466666666666667,0.9610389610389611,0.33766233766233766
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,2_medium_join,6,0.08,0.689655172413793,0.20689655172413796
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,3_has_aggr,23,0.0,0.711111111111111,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,4_has_union,125,0.1786197564276049,0.738544474393531,0.17066666666666666
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,5_has_all,74,0.20224719101123595,0.758364312267658,0.18587360594795535
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,1_easy_no_join,13,0.27027027027027023,0.9600000000000001,0.26666666666666666
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,2_medium_join,6,0.06666666666666667,0.4117647058823529,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,3_has_aggr,23,0.0,0.6792452830188679,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,4_has_union,125,0.16644993498049412,0.7137452711223203,0.14786967418546368
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,5_has_all,74,0.21481481481481482,0.7246376811594203,0.15217391304347827
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,1_easy_no_join,13,0.3466666666666667,0.9610389610389611,0.33766233766233766
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,2_medium_join,6,0.08,0.689655172413793,0.20689655172413796
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,3_has_aggr,23,0.0,0.7045454545454545,0.0
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,4_has_union,125,0.1626016260162602,0.7635869565217392,0.15881561238223418
ft/def/new_negatives/nl/llama3_8b_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,5_has_all,74,0.20074349442379183,0.758364312267658,0.18587360594795535
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,1_easy_no_join,13,0.32,0.9473684210526315,0.2894736842105264
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,2_medium_join,6,0.08333333333333334,0.30769230769230765,0.0
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,3_has_aggr,23,0.0,0.6930693069306931,0.0
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,4_has_union,125,0.18057455540355677,0.6370757180156658,0.1504539559014267
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep1,5_has_all,74,0.22142857142857142,0.6308243727598566,0.12056737588652482
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,1_easy_no_join,13,0.3013698630136986,0.945945945945946,0.29729729729729726
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,2_medium_join,6,0.08,0.5,0.0
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,3_has_aggr,23,0.0,0.6808510638297872,0.0
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,4_has_union,125,0.16621983914209115,0.6559571619812584,0.1499330655957162
ft/def/new_negatives/nl/llama3_8b_sft_lora_chat_template_nl_ep2,5_has_all,74,0.19424460431654675,0.7028985507246377,0.1366906474820144
