model,dataset,category,count,parsing_failed,f1_result,f1_provenance,f1_both
base/nl,tpch,1_easy_no_join,4,0,0.923076923076923,0.75,0.6923076923076924
base/nl,tpch,2_medium_join,2,0,0.6666666666666666,0.0,0.0
base/nl,tpch,3_has_aggr,8,0,0.0,0.11764705882352941,0.0
base/nl,tpch,4_has_union,42,0,0.28451882845188287,0.2956521739130435,0.09205020920502091
base/nl,tpch,5_has_all,20,0,0.22641509433962265,0.3018867924528302,0.18867924528301885
base/nl,relstack,1_easy_no_join,5,0,0.7826086956521738,0.6666666666666666,0.6666666666666666
base/nl,relstack,2_medium_join,2,0,0.0,0.6,0.0
base/nl,relstack,3_has_aggr,7,0,0.0,0.6363636363636364,0.0
base/nl,relstack,4_has_union,40,2,0.13793103448275862,0.43523316062176165,0.12807881773399016
base/nl,relstack,5_has_all,32,0,0.1348314606741573,0.24999999999999997,0.0898876404494382
base/nl,relf1,1_easy_no_join,4,0,0.45454545454545453,1.0,0.45454545454545453
base/nl,relf1,2_medium_join,2,0,0.0,0.0,0.0
base/nl,relf1,3_has_aggr,8,0,0.0,0.4444444444444444,0.0
base/nl,relf1,4_has_union,43,1,0.21524663677130046,0.5283018867924527,0.16143497757847533
base/nl,relf1,5_has_all,22,0,0.18181818181818182,0.4,0.18181818181818182
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,0.7142857142857143,0.888888888888889,0.5714285714285714
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,2_medium_join,2,0,0.6666666666666666,0.0,0.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,3_has_aggr,8,2,0.0,0.5000000000000001,0.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,4_has_union,42,9,0.1702127659574468,0.6593406593406593,0.14893617021276595
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,tpch,5_has_all,20,1,0.20689655172413796,0.6551724137931034,0.20689655172413796
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relstack,1_easy_no_join,5,1,0.7368421052631579,0.7000000000000001,0.6
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relstack,2_medium_join,2,2,0.0,0.0,0.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relstack,3_has_aggr,7,2,0.0,0.36363636363636365,0.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relstack,4_has_union,40,7,0.17142857142857143,0.5697674418604651,0.1485714285714286
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relstack,5_has_all,32,3,0.26262626262626265,0.5306122448979592,0.20202020202020204
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.45454545454545453,1.0,0.45454545454545453
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relf1,2_medium_join,2,0,0.0,0.28571428571428575,0.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relf1,3_has_aggr,8,2,0.0,0.56,0.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relf1,4_has_union,43,11,0.33918128654970764,0.783625730994152,0.33918128654970764
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,relf1,5_has_all,22,5,0.23529411764705882,0.7058823529411764,0.23529411764705882
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,1.0,1.0,1.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,tpch,2_medium_join,2,1,1.0,0.0,0.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,tpch,3_has_aggr,8,2,0.0,1.0,0.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,tpch,4_has_union,42,5,0.2270742358078603,0.7586206896551724,0.21551724137931033
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,tpch,5_has_all,20,2,0.41269841269841273,0.7619047619047619,0.41269841269841273
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relstack,1_easy_no_join,5,0,0.608695652173913,0.75,0.5
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relstack,2_medium_join,2,0,0.18181818181818182,0.5454545454545454,0.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relstack,3_has_aggr,7,2,0.0,0.7692307692307692,0.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relstack,4_has_union,40,6,0.18000000000000002,0.77,0.17
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relstack,5_has_all,32,3,0.15238095238095237,0.5904761904761905,0.09523809523809525
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.18181818181818182,1.0,0.18181818181818182
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relf1,2_medium_join,2,0,0.0,0.18181818181818182,0.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,relf1,3_has_aggr,8,2,0.0,0.46153846153846156,0.0
