model,category,count,f1_result,f1_provenance,f1_both
base/nl,1_easy_no_join,13,0.732394366197183,0.8,0.611111111111111
base/nl,2_medium_join,6,0.1,0.27272727272727276,0.0
base/nl,3_has_aggr,23,0.0,0.4266666666666667,0.0
base/nl,4_has_union,125,0.21654135338345865,0.415748031496063,0.1263157894736842
base/nl,5_has_all,74,0.17258883248730966,0.3061224489795918,0.14213197969543145
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,1_easy_no_join,13,0.6376811594202899,0.8695652173913043,0.5428571428571428
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,2_medium_join,6,0.2,0.16666666666666666,0.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,3_has_aggr,23,0.0,0.5,0.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,4_has_union,125,0.2247191011235955,0.6704761904761904,0.20973782771535576
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep1_withbadformat_bcoloss,5_has_all,74,0.2403846153846154,0.6086956521739131,0.21153846153846154
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,1_easy_no_join,13,0.6301369863013698,0.9189189189189189,0.5945945945945945
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,2_medium_join,6,0.16666666666666666,0.30769230769230765,0.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,3_has_aggr,23,0.0,0.7384615384615384,0.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,4_has_union,125,0.23510971786833854,0.7925117004680187,0.22776911076443054
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep1_nl_ep2_withbadformat_bcoloss,5_has_all,74,0.2362869198312236,0.7172995780590717,0.2109704641350211
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,1_easy_no_join,13,0.6031746031746033,0.90625,0.5625
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,2_medium_join,6,0.16666666666666666,0.14285714285714288,0.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,3_has_aggr,23,0.0,0.43636363636363634,0.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,4_has_union,125,0.2186878727634195,0.680161943319838,0.2067594433399602
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep1_withbadformat_bcoloss,5_has_all,74,0.24000000000000002,0.65,0.22000000000000003
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,1_easy_no_join,13,0.4776119402985075,0.911764705882353,0.4411764705882353
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,2_medium_join,6,0.16666666666666666,0.30769230769230765,0.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,3_has_aggr,23,0.0,0.7536231884057972,0.0
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,4_has_union,125,0.2,0.778501628664495,0.19512195121951217
ft/def/new_negatives/nl/qwen2.5_dpo_after_sft_ep2_nl_ep2_withbadformat_bcoloss,5_has_all,74,0.2833333333333334,0.7333333333333334,0.25
ft/def/new_negatives/nl/qwen2.5_sft_lora_chat_template_nl_ep1,1_easy_no_join,13,0.44776119402985076,0.7647058823529411,0.35294117647058826
ft/def/new_negatives/nl/qwen2.5_sft_lora_chat_template_nl_ep1,2_medium_join,6,0.09523809523809525,0.43478260869565216,0.0
ft/def/new_negatives/nl/qwen2.5_sft_lora_chat_template_nl_ep1,3_has_aggr,23,0.0,0.41558441558441556,0.0
ft/def/new_negatives/nl/qwen2.5_sft_lora_chat_template_nl_ep1,4_has_union,125,0.25685425685425683,0.4789156626506024,0.18181818181818182
ft/def/new_negatives/nl/qwen2.5_sft_lora_chat_template_nl_ep1,5_has_all,74,0.1643835616438356,0.47488584474885853,0.1095890410958904
ft/def/new_negatives/nl/qwen2.5_sft_lora_chat_template_nl_ep2,1_easy_no_join,13,0.7142857142857143,0.6956521739130435,0.5915492957746479
ft/def/new_negatives/nl/qwen2.5_sft_lora_chat_template_nl_ep2,2_medium_join,6,0.10526315789473684,0.09523809523809522,0.0
ft/def/new_negatives/nl/qwen2.5_sft_lora_chat_template_nl_ep2,3_has_aggr,23,0.0,0.45,0.0
ft/def/new_negatives/nl/qwen2.5_sft_lora_chat_template_nl_ep2,4_has_union,125,0.2441860465116279,0.6023391812865497,0.2238372093023256
ft/def/new_negatives/nl/qwen2.5_sft_lora_chat_template_nl_ep2,5_has_all,74,0.1896551724137931,0.47826086956521735,0.13793103448275862
