model,dataset,category,count,parsing_failed,f1_result,f1_provenance,f1_both
base/sql,tpch,1_easy_no_join,4,0,0.19047619047619047,0.5714285714285714,0.09523809523809523
base/sql,tpch,2_medium_join,2,0,0.5,0.0,0.0
base/sql,tpch,3_has_aggr,8,0,0.0,0.45454545454545453,0.0
base/sql,tpch,4_has_union,42,0,0.6866952789699571,0.2914572864321608,0.211864406779661
base/sql,tpch,5_has_all,20,0,0.2173913043478261,0.26086956521739135,0.17391304347826086
base/sql,relstack,1_easy_no_join,5,0,0.6,0.4,0.18181818181818182
base/sql,relstack,2_medium_join,2,0,0.0,0.0,0.0
base/sql,relstack,3_has_aggr,7,0,0.0,0.11111111111111112,0.0
base/sql,relstack,4_has_union,40,5,0.5882352941176471,0.4598930481283423,0.36097560975609755
base/sql,relstack,5_has_all,32,0,0.3516483516483516,0.19780219780219782,0.1758241758241758
base/sql,relf1,1_easy_no_join,4,0,0.6666666666666666,0.7999999999999999,0.47619047619047616
base/sql,relf1,2_medium_join,2,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
base/sql,relf1,3_has_aggr,8,0,0.0,0.43243243243243246,0.0
base/sql,relf1,4_has_union,43,0,0.8240343347639485,0.5499999999999999,0.40343347639484983
base/sql,relf1,5_has_all,22,0,0.4363636363636363,0.21818181818181814,0.14545454545454545
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,0.36363636363636365,0.6363636363636364,0.2727272727272727
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,2_medium_join,2,1,1.0,0.0,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,3_has_aggr,8,0,0.0,0.36363636363636365,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,4_has_union,42,5,0.7475728155339806,0.6400000000000001,0.5550239234449761
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,5_has_all,20,1,0.45833333333333337,0.5000000000000001,0.45833333333333337
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,1_easy_no_join,5,0,0.6,0.5714285714285714,0.4761904761904762
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,2_medium_join,2,0,0.22222222222222224,0.0,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,3_has_aggr,7,1,0.0,0.26666666666666666,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,4_has_union,40,6,0.6145833333333333,0.6989247311827957,0.5625
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,5_has_all,32,3,0.4395604395604396,0.5274725274725275,0.3736263736263736
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.7999999999999999,0.4705882352941177,0.39999999999999997
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relf1,2_medium_join,2,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relf1,3_has_aggr,8,0,0.0,0.5142857142857142,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relf1,4_has_union,43,2,0.8144796380090499,0.8482142857142857,0.7678571428571429
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relf1,5_has_all,22,5,0.7058823529411765,0.7058823529411765,0.7058823529411765
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,1.0,1.0,1.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,tpch,2_medium_join,2,0,1.0,0.0,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,tpch,3_has_aggr,8,0,0.0,0.5925925925925926,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,tpch,4_has_union,42,1,0.7203065134099617,0.7739463601532567,0.6183206106870229
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,tpch,5_has_all,20,3,0.8135593220338982,0.8813559322033899,0.8135593220338982
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relstack,1_easy_no_join,5,0,0.8799999999999999,0.8461538461538461,0.7692307692307692
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relstack,2_medium_join,2,0,0.22222222222222224,0.22222222222222224,0.22222222222222224
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relstack,3_has_aggr,7,1,0.0,0.47058823529411764,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relstack,4_has_union,40,7,0.7192118226600985,0.8571428571428572,0.689655172413793
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relstack,5_has_all,32,3,0.5660377358490566,0.7358490566037736,0.5283018867924528
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,1.0,1.0,1.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,2_medium_join,2,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,3_has_aggr,8,1,0.0,0.6315789473684211,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,4_has_union,43,2,0.8266666666666667,0.8711111111111111,0.7610619469026548
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,relf1,5_has_all,22,2,0.78125,0.8125000000000001,0.75
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,0.36363636363636365,0.6363636363636364,0.2727272727272727
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,2_medium_join,2,1,1.0,0.0,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,3_has_aggr,8,0,0.0,0.36363636363636365,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,4_has_union,42,4,0.7706422018348624,0.6445497630331753,0.5610859728506787
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,tpch,5_has_all,20,1,0.5769230769230769,0.6153846153846154,0.5769230769230769
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,1_easy_no_join,5,0,0.6,0.5714285714285714,0.4761904761904762
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,2_medium_join,2,0,0.22222222222222224,0.0,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,3_has_aggr,7,1,0.0,0.37499999999999994,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,4_has_union,40,6,0.5918367346938775,0.6808510638297872,0.5102040816326531
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relstack,5_has_all,32,4,0.4835164835164835,0.5494505494505496,0.4175824175824176
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.7999999999999999,0.4705882352941177,0.39999999999999997
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,2_medium_join,2,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,3_has_aggr,8,1,0.0,0.5806451612903225,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,4_has_union,43,2,0.8035714285714286,0.7837837837837838,0.696035242290749
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,relf1,5_has_all,22,6,0.7083333333333334,0.7083333333333334,0.7083333333333334
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,1.0,1.0,1.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,tpch,2_medium_join,2,0,1.0,0.0,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,tpch,3_has_aggr,8,0,0.0,0.5925925925925926,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,tpch,4_has_union,42,1,0.7165354330708662,0.7952755905511811,0.6456692913385825
