model,category,count,f1_result,f1_provenance,f1_both
base/sql,1_easy_no_join,13,0.48387096774193544,0.5901639344262295,0.25
base/sql,2_medium_join,6,0.2,0.09090909090909091,0.09090909090909091
base/sql,3_has_aggr,23,0.0,0.36363636363636365,0.0
base/sql,4_has_union,125,0.7044776119402986,0.4334470989761092,0.32344213649851633
base/sql,5_has_all,74,0.34375,0.21875,0.16666666666666666
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,1_easy_no_join,13,0.5806451612903226,0.5666666666666667,0.380952380952381
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,2_medium_join,6,0.35294117647058826,0.10526315789473682,0.10526315789473682
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,3_has_aggr,23,0.0,0.4166666666666667,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,4_has_union,125,0.730210016155089,0.7344262295081967,0.6336
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,5_has_all,74,0.5157894736842106,0.568421052631579,0.48421052631578954
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,1_easy_no_join,13,0.9599999999999999,0.9473684210526315,0.9210526315789475
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,2_medium_join,6,0.42105263157894735,0.19047619047619044,0.19047619047619044
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,3_has_aggr,23,0.0,0.5853658536585367,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,4_has_union,125,0.7547169811320755,0.8301886792452831,0.6859623733719248
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep1_sql_ep2_withbadformat_bcoloss,5_has_all,74,0.6899563318777292,0.7947598253275109,0.6637554585152838
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,1_easy_no_join,13,0.5806451612903226,0.5666666666666667,0.380952380952381
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,2_medium_join,6,0.35294117647058826,0.10526315789473682,0.10526315789473682
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,3_has_aggr,23,0.0,0.46376811594202894,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,4_has_union,125,0.7272727272727273,0.7053140096618358,0.593167701863354
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep1_withbadformat_bcoloss,5_has_all,74,0.5654450261780105,0.6073298429319371,0.5340314136125655
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,1_easy_no_join,13,0.9599999999999999,0.9473684210526315,0.9210526315789475
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,2_medium_join,6,0.5714285714285714,0.3478260869565218,0.3478260869565218
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,3_has_aggr,23,0.0,0.6341463414634146,0.0
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,4_has_union,125,0.7463556851311953,0.8221574344023324,0.6783114992721979
ft/def/new_negatives/sql/qwen2.5_dpo_after_sft_ep2_sql_ep2_withbadformat_bcoloss,5_has_all,74,0.7000000000000001,0.7873303167420815,0.6696832579185521
ft/def/new_negatives/sql/qwen2.5_sft_lora_chat_template_sql_ep1,1_easy_no_join,13,0.6031746031746031,0.6562499999999999,0.53125
ft/def/new_negatives/sql/qwen2.5_sft_lora_chat_template_sql_ep1,2_medium_join,6,0.4761904761904762,0.08695652173913045,0.08695652173913045
ft/def/new_negatives/sql/qwen2.5_sft_lora_chat_template_sql_ep1,3_has_aggr,23,0.0,0.3235294117647059,0.0
ft/def/new_negatives/sql/qwen2.5_sft_lora_chat_template_sql_ep1,4_has_union,125,0.7439759036144579,0.6012861736334405,0.5074626865671641
ft/def/new_negatives/sql/qwen2.5_sft_lora_chat_template_sql_ep1,5_has_all,74,0.4067796610169491,0.192090395480226,0.1807909604519774
ft/def/new_negatives/sql/qwen2.5_sft_lora_chat_template_sql_ep2,1_easy_no_join,13,0.5671641791044776,0.6461538461538461,0.4411764705882353
ft/def/new_negatives/sql/qwen2.5_sft_lora_chat_template_sql_ep2,2_medium_join,6,0.4761904761904762,0.08695652173913045,0.08695652173913045
ft/def/new_negatives/sql/qwen2.5_sft_lora_chat_template_sql_ep2,3_has_aggr,23,0.0,0.4210526315789474,0.0
ft/def/new_negatives/sql/qwen2.5_sft_lora_chat_template_sql_ep2,4_has_union,125,0.7023809523809524,0.6270928462709284,0.528023598820059
ft/def/new_negatives/sql/qwen2.5_sft_lora_chat_template_sql_ep2,5_has_all,74,0.5482233502538072,0.3756345177664974,0.3248730964467005
