model,dataset,category,count,parsing_failed,f1_result,f1_provenance,f1_both
base/sql,tpch,1_easy_no_join,4,0,1.0,0.2857142857142857,0.2857142857142857
base/sql,tpch,2_medium_join,2,0,1.0,0.3333333333333333,0.3333333333333333
base/sql,tpch,3_has_aggr,8,0,0.0,0.7096774193548386,0.0
base/sql,tpch,4_has_union,42,1,0.7413127413127413,0.5846153846153845,0.5076923076923077
base/sql,tpch,5_has_all,20,0,0.7692307692307693,0.3692307692307692,0.3692307692307692
base/sql,relstack,1_easy_no_join,5,0,0.8181818181818181,0.8333333333333333,0.8333333333333333
base/sql,relstack,2_medium_join,2,0,0.5714285714285714,0.42857142857142855,0.0
base/sql,relstack,3_has_aggr,7,1,0.0,0.45454545454545453,0.0
base/sql,relstack,4_has_union,40,4,0.5943775100401607,0.6159999999999999,0.488
base/sql,relstack,5_has_all,32,2,0.5593220338983051,0.6178861788617886,0.45161290322580644
base/sql,relf1,1_easy_no_join,4,0,1.0,1.0,1.0
base/sql,relf1,2_medium_join,2,0,1.0,0.25,0.25
base/sql,relf1,3_has_aggr,8,1,0.0,0.5945945945945945,0.0
base/sql,relf1,4_has_union,43,0,0.9285714285714286,0.753968253968254,0.7401574803149606
base/sql,relf1,5_has_all,22,0,0.7352941176470589,0.588235294117647,0.5
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,1_easy_no_join,4,0,0.7142857142857143,1.0,0.7142857142857143
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,2_medium_join,2,0,1.0,0.28571428571428575,0.28571428571428575
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,3_has_aggr,8,0,0.0,0.875,0.0
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,4_has_union,42,0,0.7851851851851852,0.7545787545787545,0.6739926739926739
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,tpch,5_has_all,20,0,0.9166666666666667,0.9315068493150684,0.9041095890410958
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,1_easy_no_join,5,2,0.6666666666666667,0.7272727272727273,0.6363636363636364
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,2_medium_join,2,0,0.5714285714285714,0.42857142857142855,0.0
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,3_has_aggr,7,0,0.0,0.7407407407407408,0.0
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,4_has_union,40,4,0.6,0.7171314741035856,0.48627450980392156
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relstack,5_has_all,32,3,0.5891472868217054,0.7846153846153846,0.4848484848484848
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relf1,1_easy_no_join,4,0,0.7272727272727273,1.0,0.7272727272727273
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relf1,2_medium_join,2,0,1.0,0.5,0.5
ft/def/new_negatives/llama3_8b_dpo_after_sft_ep1_sql_ep1_withbadformat_bcoloss,relf1,3_has_aggr,8,2,0.0,0.8571428571428571,0.0
