id,query,success,error
1,"select partsupp.ps_availqty, partsupp.ps_comment, partsupp.ps_availqty, partsupp.ps_supplycost from partsupp where partsupp.ps_comment is not NULL limit 156;",YES,""
2,"select partsupp.ps_supplycost, partsupp.ps_partkey, partsupp.ps_availqty from partsupp where partsupp.ps_supplycost is NULL;",YES,""
3,"select supplier.s_suppkey, supplier.s_comment, supplier.s_suppkey, supplier.s_address, min( cast(cast(null as tid) as tid)) from supplier where supplier.s_nationkey is not NULL limit 104;",NO,"ERREUR:  la colonne « supplier.s_suppkey » doit apparaître dans la clause GROUP BY ou doit être utilisé dans une fonction d'agrégat LIGNE 2 : supplier.s_suppkey,           ^"
4,"select partsupp.ps_partkey, partsupp.ps_availqty, partsupp.ps_availqty, partsupp.ps_supplycost, partsupp.ps_suppkey, partsupp.ps_suppkey, partsupp.ps_supplycost, partsupp.ps_availqty, partsupp.ps_suppkey from partsupp limit 99;",YES,""
5,"select lineitem.l_comment, lineitem.l_discount, lineitem.l_shipinstruct, customer.c_acctbal, customer.c_address, max( cast(cast(null as float4) as float4)), lineitem.l_shipdate, customer.c_mktsegment, customer.c_name, lineitem.l_linenumber, lineitem.l_shipinstruct, lineitem.l_linenumber, min( cast(cast(null as xid8) as xid8)) from nation inner join lineitem on (lineitem.l_suppkey <= lineitem.l_orderkey) inner join customer on (nation.n_regionkey = customer.c_custkey ) inner join lineitem on (lineitem.l_commitdate = lineitem.l_shipdate) where lineitem.l_orderkey >= nation.n_nationkey;",NO,"ERREUR:  le nom de la table « lineitem » est spécifié plus d'une fois"
6,"select lineitem.l_orderkey, max( cast(cast(null as int8) as int8)), lineitem.l_partkey from lineitem where lineitem.l_receiptdate is NULL;",NO,"ERREUR:  la colonne « lineitem.l_orderkey » doit apparaître dans la clause GROUP BY ou doit être utilisé dans une fonction d'agrégat LIGNE 2 : lineitem.l_orderkey,           ^"
7,"select part.p_partkey, nation.n_nationkey from region inner join supplier inner join supplier on (supplier.s_acctbal >= supplier.s_acctbal) inner join orders inner join part on (orders.o_orderstatus < orders.o_orderstatus) inner join part inner join partsupp on (part.p_size > part.p_size) on (partsupp.ps_suppkey > part.p_size) inner join nation on (orders.o_totalprice < orders.o_totalprice) on (supplier.s_acctbal <= supplier.s_acctbal) on (region.r_comment is not NULL) where nation.n_name is not NULL limit 78;",NO,"ERREUR:  le nom de la table « supplier » est spécifié plus d'une fois"
8,"select nation.n_name, nation.n_nationkey, nation.n_nationkey, max( cast(cast(null as timestamptz) as timestamptz)) from nation where nation.n_comment is NULL limit 129;",NO,"ERREUR:  la colonne « nation.n_name » doit apparaître dans la clause GROUP BY ou doit être utilisé dans une fonction d'agrégat LIGNE 2 : nation.n_name,           ^"
9,"select orders.o_custkey from orders where orders.o_shippriority is not NULL;",YES,""
10,"select max( cast(cast(null as anyarray) as anyarray)) from nation where nation.n_regionkey is NULL limit 122;",YES,""
11,"select lineitem.l_suppkey, lineitem.l_tax from lineitem where lineitem.l_returnflag is NULL limit 150;",YES,""
12,"select partsupp.ps_partkey, part.p_retailprice, partsupp.ps_partkey from partsupp inner join part on (part.p_brand >= part.p_mfgr) inner join region on (part.p_size < region.r_regionkey) inner join orders on (orders.o_custkey is NULL) where orders.o_shippriority = orders.o_custkey limit 132;",YES,""
13,"select lineitem.l_suppkey, lineitem.l_linenumber, avg( cast(cast(null as float8) as float8)), orders.o_orderpriority, min( cast(cast(null as money) as money)) from nation inner join orders inner join part inner join orders inner join supplier on (supplier.s_name <= supplier.s_phone) on (part.p_size = supplier.s_suppkey ) inner join partsupp on (supplier.s_suppkey > supplier.s_nationkey) on (orders.o_clerk > orders.o_orderstatus) inner join lineitem on (lineitem.l_quantity <= orders.o_totalprice) on (nation.n_regionkey is NULL) where nation.n_name is not NULL limit 101;",NO,"ERREUR:  le nom de la table « orders » est spécifié plus d'une fois"
14,"select partsupp.ps_suppkey from customer inner join partsupp on (customer.c_mktsegment is not NULL) where customer.c_phone is NULL;",YES,""
15,"select nation.n_regionkey, nation.n_regionkey, lineitem.l_partkey, nation.n_comment from nation inner join lineitem on (lineitem.l_suppkey is NULL) where lineitem.l_shipdate is NULL limit 139;",YES,""
16,"select region.r_comment from region inner join supplier on (region.r_regionkey is NULL) where supplier.s_name is NULL limit 60;",YES,""
