id,query,success,error
1,"select qualifying_1.position, qualifying_1.constructorid from qualifying as qualifying_1 where qualifying_1.number <= qualifying_1.qualifyid limit 41;",YES,""
2,"select standings_1.raceid, standings_1.points, standings_1.date from standings as standings_1 where standings_1.raceid is not NULL limit 34;",YES,""
3,"select sum( constructor_standings_1.constructorid), qualifying_1.number, min( qualifying_1.position), qualifying_1.raceid, constructors_1.constructorref, constructor_standings_1.date, constructors_1.name, qualifying_1.date, max( constructor_standings_1.constructorid), qualifying_1.qualifyid, constructor_standings_1.raceid, avg( qualifying_1.qualifyid), constructors_1.constructorid, constructors_1.constructorref, constructors_1.name, constructor_standings_1.raceid, constructors_1.constructorid, constructors_1.name from qualifying as qualifying_1 inner join constructor_standings as constructor_standings_1 on (qualifying_1.qualifyid = constructor_standings_1.constructorstandingsid ) inner join constructors as constructors_1 on (qualifying_1.qualifyid = constructors_1.constructorid ) where constructor_standings_1.wins is not NULL group by qualifying_1.number, qualifying_1.raceid, constructors_1.constructorref, constructor_standings_1.date, constructors_1.name, qualifying_1.date, qualifying_1.qualifyid, constructor_standings_1.raceid, constructors_1.constructorid, constructors_1.constructorref, constructors_1.name, constructor_standings_1.raceid, constructors_1.constructorid, constructors_1.name limit 19;",YES,""
4,"select min( results_1.resultid), constructor_results_1.constructorid from drivers as drivers_1 inner join drivers as drivers_2 inner join results as results_1 on (drivers_2.driverid = results_1.resultid ) inner join constructor_results as constructor_results_1 inner join constructor_standings as constructor_standings_1 on (constructor_results_1.constructorresultsid = constructor_standings_1.constructorstandingsid ) on (drivers_2.driverid = constructor_standings_1.constructorstandingsid ) inner join circuits as circuits_1 inner join races as races_1 on (circuits_1.circuitid = races_1.raceid ) on (constructor_results_1.constructorresultsid = circuits_1.circuitid ) on (drivers_1.driverid = results_1.resultid ) where results_1.laps > races_1.circuitid group by constructor_results_1.constructorid limit 33;",YES,""
5,"select circuits_1.lat, circuits_1.lng, circuits_1.country, circuits_1.circuitid from circuits as circuits_1 where circuits_1.alt is not NULL limit 36;",YES,""
6,"select qualifying_1.position, qualifying_1.date from qualifying as qualifying_1 where qualifying_1.constructorid is not NULL limit 18;",YES,""
7,"select standings_1.driverid, standings_1.driverid, min( standings_1.date), standings_1.date, standings_1.position, standings_1.points from standings as standings_1 where standings_1.driverstandingsid is not NULL group by standings_1.driverid, standings_1.driverid, standings_1.date, standings_1.position, standings_1.points limit 36;",YES,""
8,"select count( standings_1.driverid), standings_1.points, standings_1.position, standings_1.driverid from standings as standings_1 where standings_1.date < standings_1.date group by standings_1.points, standings_1.position, standings_1.driverid limit 25;",YES,""
9,"select constructor_standings_1.raceid, constructor_standings_2.date, constructor_standings_1.constructorstandingsid, constructor_standings_2.raceid, constructor_standings_1.raceid, constructor_standings_1.raceid from constructor_standings as constructor_standings_1 inner join constructor_standings as constructor_standings_2 on (constructor_standings_1.constructorstandingsid = constructor_standings_2.constructorstandingsid ) where constructor_standings_2.constructorstandingsid >= constructor_standings_2.position limit 29;",YES,""
10,"select constructor_standings_1.points, constructor_standings_1.points, constructor_standings_1.constructorstandingsid, sum( constructor_standings_1.points), max( constructor_standings_1.points) from constructor_standings as constructor_standings_1 where constructor_standings_1.position <= constructor_standings_1.wins group by constructor_standings_1.points, constructor_standings_1.points, constructor_standings_1.constructorstandingsid limit 7;",YES,""
11,"select constructor_standings_1.position, constructor_standings_1.points, constructor_standings_1.constructorstandingsid, sum( constructor_standings_2.points) from constructor_standings as constructor_standings_1 inner join constructor_standings as constructor_standings_2 on (constructor_standings_1.constructorstandingsid = constructor_standings_2.constructorstandingsid ) where constructor_standings_1.constructorid is not NULL group by constructor_standings_1.position, constructor_standings_1.points, constructor_standings_1.constructorstandingsid limit 36;",YES,""
12,"select constructor_standings_1.wins, qualifying_1.constructorid, qualifying_1.raceid, constructor_standings_1.constructorid, qualifying_1.position, qualifying_1.driverid, races_1.year, races_1.circuitid, constructor_standings_1.position, constructor_standings_1.raceid, min( constructor_standings_1.date) from races as races_1 inner join qualifying as qualifying_1 inner join constructor_standings as constructor_standings_1 on (qualifying_1.qualifyid = constructor_standings_1.constructorstandingsid ) on (races_1.raceid = constructor_standings_1.constructorstandingsid ) where races_1.round is not NULL group by constructor_standings_1.wins, qualifying_1.constructorid, qualifying_1.raceid, constructor_standings_1.constructorid, qualifying_1.position, qualifying_1.driverid, races_1.year, races_1.circuitid, constructor_standings_1.position, constructor_standings_1.raceid limit 29;",YES,""
13,"select constructor_results_1.raceid, constructor_results_1.date, constructor_results_2.constructorresultsid, constructor_results_2.constructorid from constructors as constructors_1 inner join races as races_1 inner join constructor_results as constructor_results_1 inner join constructors as constructors_2 on (constructor_results_1.constructorresultsid = constructors_2.constructorid ) on (races_1.raceid = constructor_results_1.constructorresultsid ) on (constructors_1.constructorid = constructors_2.constructorid ) inner join constructor_results as constructor_results_2 on (constructors_2.constructorid = constructor_results_2.constructorresultsid ) where races_1.date >= constructor_results_1.date limit 20;",YES,""
14,"select qualifying_2.qualifyid, qualifying_1.constructorid, max( qualifying_2.date) from qualifying as qualifying_1 inner join qualifying as qualifying_2 on (qualifying_1.qualifyid = qualifying_2.qualifyid ) where qualifying_2.driverid is not NULL group by qualifying_2.qualifyid, qualifying_1.constructorid limit 14;",YES,""
15,"select constructor_standings_1.constructorstandingsid from constructor_standings as constructor_standings_1 where constructor_standings_1.constructorid is not NULL limit 34;",YES,""
16,"select results_1.points from qualifying as qualifying_1 inner join results as results_1 on (qualifying_1.qualifyid = results_1.resultid ) where results_1.points is not NULL limit 5;",YES,""
17,"select standings_1.wins, standings_1.driverid, min( standings_1.date), max( standings_1.points), standings_1.wins, standings_1.driverstandingsid, standings_1.points, standings_1.driverstandingsid, standings_1.date, standings_1.points, sum( standings_1.raceid), standings_1.raceid, standings_1.position, standings_1.raceid, standings_1.position, standings_1.wins, standings_1.wins, standings_1.raceid, standings_1.wins, standings_1.driverstandingsid, standings_1.driverstandingsid from standings as standings_1 where standings_1.date is not NULL group by standings_1.wins, standings_1.driverid, standings_1.wins, standings_1.driverstandingsid, standings_1.points, standings_1.driverstandingsid, standings_1.date, standings_1.points, standings_1.raceid, standings_1.position, standings_1.raceid, standings_1.position, standings_1.wins, standings_1.wins, standings_1.raceid, standings_1.wins, standings_1.driverstandingsid, standings_1.driverstandingsid limit 29;",YES,""
18,"select circuits_1.alt from circuits as circuits_1 where circuits_1.alt is not NULL limit 6;",YES,""
19,"select constructor_standings_1.position, constructor_standings_1.raceid, constructor_standings_1.constructorid, constructor_standings_1.date from constructor_standings as constructor_standings_1 where constructor_standings_1.position is not NULL limit 40;",YES,""
