id,query,success,error
1,"select posthistory_1.posthistorytypeid, posthistory_1.posthistorytypeid, max( posthistory_1.userdisplayname), posthistory_1.postid, posthistory_1.posthistorytypeid, posthistory_1.revisionguid, posthistory_1.creationdate, posthistory_1.comment, posthistory_1.userdisplayname from posthistory as posthistory_1 where posthistory_1.creationdate = posthistory_1.creationdate group by posthistory_1.posthistorytypeid, posthistory_1.posthistorytypeid, posthistory_1.postid, posthistory_1.posthistorytypeid, posthistory_1.revisionguid, posthistory_1.creationdate, posthistory_1.comment, posthistory_1.userdisplayname limit 21;",YES,""
2,"select postlinks_2.postid, postlinks_2.linktypeid, postlinks_2.relatedpostid, postlinks_2.creationdate, max( postlinks_2.creationdate), postlinks_2.linktypeid, postlinks_2.creationdate, min( postlinks_1.id), avg( postlinks_1.id) from postlinks as postlinks_1 inner join postlinks as postlinks_2 on (postlinks_1.id = postlinks_2.id ) where postlinks_1.linktypeid is not NULL group by postlinks_2.postid, postlinks_2.linktypeid, postlinks_2.relatedpostid, postlinks_2.creationdate, postlinks_2.linktypeid, postlinks_2.creationdate limit 13;",YES,""
3,"select users_1.id, posthistory_1.contentlicense, users_1.creationdate, posthistory_1.userid, users_1.websiteurl, users_1.aboutme, users_1.creationdate, posthistory_1.comment from users as users_1 inner join posthistory as posthistory_1 on (users_1.id = posthistory_1.id ) where users_1.creationdate is not NULL limit 21;",YES,""
4,"select users_1.profileimageurl, users_1.creationdate, users_1.aboutme, users_1.id, users_1.creationdate, users_1.accountid, max( users_1.creationdate), min( users_1.creationdate), users_1.location, users_1.accountid, users_1.aboutme, users_1.accountid, users_1.aboutme, max( users_1.location), users_1.profileimageurl, users_1.websiteurl, users_1.id, users_1.displayname, max( users_1.location), users_1.id, users_1.location, users_1.id, users_1.websiteurl, users_1.id from users as users_1 where users_1.accountid is not NULL group by users_1.profileimageurl, users_1.creationdate, users_1.aboutme, users_1.id, users_1.creationdate, users_1.accountid, users_1.location, users_1.accountid, users_1.aboutme, users_1.accountid, users_1.aboutme, users_1.profileimageurl, users_1.websiteurl, users_1.id, users_1.displayname, users_1.id, users_1.location, users_1.id, users_1.websiteurl, users_1.id limit 27;",YES,""
5,"select posts_1.id from posts as posts_1 where posts_1.ownerdisplayname is not NULL limit 38;",YES,""
6,"select min( posts_1.ownerdisplayname), votes_1.votetypeid, posts_1.contentlicense, posthistory_2.revisionguid, votes_1.id, max( users_1.aboutme), max( posts_1.ownerdisplayname) from votes as votes_1 inner join posthistory as posthistory_1 on (votes_1.id = posthistory_1.id ) inner join users as users_1 inner join posthistory as posthistory_2 inner join posts as posts_1 on (posthistory_2.id = posts_1.id ) on (users_1.id = posthistory_2.id ) on (posthistory_1.id = posthistory_2.id ) where posthistory_2.revisionguid >= posthistory_1.userdisplayname group by votes_1.votetypeid, posts_1.contentlicense, posthistory_2.revisionguid, votes_1.id limit 35;",YES,""
7,"select votes_3.postid, count(*), votes_1.userid, posts_1.tags, posts_1.tags, votes_2.postid, votes_2.votetypeid, votes_3.id, posts_1.parentid, votes_1.creationdate, votes_2.userid from posts as posts_1 inner join votes as votes_1 inner join votes as votes_2 on (votes_1.id = votes_2.id ) inner join votes as votes_3 on (votes_2.id = votes_3.id ) on (posts_1.id = votes_1.id ) where posts_1.id is not NULL group by votes_3.postid, votes_1.userid, posts_1.tags, posts_1.tags, votes_2.postid, votes_2.votetypeid, votes_3.id, posts_1.parentid, votes_1.creationdate, votes_2.userid limit 5;",YES,""
8,"select posts_1.body, posts_1.id, max( posts_1.posttypeid) from posthistory as posthistory_1 inner join posts as posts_1 on (posthistory_1.id = posts_1.id ) where posthistory_1.creationdate <= posts_1.creationdate group by posts_1.body, posts_1.id limit 7;",YES,""
9,"select comments_1.userdisplayname, comments_1.contentlicense, comments_1.id, min( comments_1.creationdate), count(*), comments_1.contentlicense, count(*), comments_1.postid, comments_1.text, comments_1.userid, comments_1.userdisplayname, comments_1.contentlicense, min( comments_1.creationdate), comments_1.text from comments as comments_1 where comments_1.postid is not NULL group by comments_1.userdisplayname, comments_1.contentlicense, comments_1.id, comments_1.contentlicense, comments_1.postid, comments_1.text, comments_1.userid, comments_1.userdisplayname, comments_1.contentlicense, comments_1.text limit 11;",YES,""
10,"select min( comments_1.creationdate), sum( comments_1.id), max( comments_1.text) from comments as comments_1 where comments_1.contentlicense is not NULL limit 16;",YES,""
