id,query,success,error
1,"select lineitem_1.l_partkey, lineitem_1.l_shipdate, lineitem_1.l_shipdate, lineitem_1.l_returnflag, lineitem_1.l_linestatus, min( lineitem_1.l_partkey), min( lineitem_1.l_partkey) , provsql.sr_why(provsql.provenance(), 'provmap') from lineitem as lineitem_1 where lineitem_1.l_shipinstruct is not NULL group by lineitem_1.l_linestatus, lineitem_1.l_partkey, lineitem_1.l_returnflag, lineitem_1.l_shipdate limit 12;",YES,""
2,"select customer_1.c_comment, customer_1.provsql, customer_1.c_comment, customer_1.c_mktsegment, min( customer_1.c_custkey), customer_1.c_name, customer_1.c_comment , provsql.sr_why(provsql.provenance(), 'provmap') from customer as customer_1 where customer_1.c_nationkey <= customer_1.c_custkey group by customer_1.c_comment, customer_1.c_mktsegment, customer_1.c_name, customer_1.provsql limit 37;",YES,""
3,"select partsupp_1.provsql , provsql.sr_why(provsql.provenance(), 'provmap') from part as part_1 inner join partsupp as partsupp_1 inner join part as part_2 on (partsupp_1.ps_partkey = part_2.p_partkey ) on (part_1.p_partkey = part_2.p_partkey ) where part_2.p_comment is not NULL limit 39;",YES,""
4,"select orders_1.provsql, orders_1.o_orderkey, orders_1.o_clerk, max( orders_1.o_shippriority), orders_1.o_totalprice, orders_1.o_clerk, orders_1.o_orderdate, orders_1.o_totalprice, orders_1.o_shippriority, orders_1.o_comment, orders_1.o_clerk, orders_1.o_shippriority, orders_1.o_orderpriority, orders_1.o_orderpriority, orders_1.o_orderstatus, orders_1.o_comment, orders_1.o_comment, orders_1.o_shippriority, orders_1.o_orderpriority, orders_1.o_orderdate, orders_1.o_clerk, min( orders_1.o_custkey), orders_1.o_comment, orders_1.o_orderpriority, orders_1.o_orderdate, min( orders_1.o_custkey), min( orders_1.o_shippriority), orders_1.o_orderkey, orders_1.o_custkey , provsql.sr_why(provsql.provenance(), 'provmap') from orders as orders_1 where orders_1.o_orderpriority > orders_1.o_orderstatus group by orders_1.o_clerk, orders_1.o_comment, orders_1.o_custkey, orders_1.o_orderdate, orders_1.o_orderkey, orders_1.o_orderpriority, orders_1.o_orderstatus, orders_1.o_shippriority, orders_1.o_totalprice, orders_1.provsql limit 26;",YES,""
5,"select nation_1.n_comment , provsql.sr_why(provsql.provenance(), 'provmap') from nation as nation_1 where nation_1.n_nationkey is not NULL limit 25;",YES,""
6,"select supplier_1.provsql, supplier_1.s_address, supplier_1.provsql, min( supplier_1.s_nationkey), supplier_1.s_comment, supplier_1.provsql, supplier_1.provsql, supplier_1.s_phone, supplier_1.s_phone , provsql.sr_why(provsql.provenance(), 'provmap') from supplier as supplier_1 where supplier_1.s_acctbal >= supplier_1.s_acctbal group by supplier_1.provsql, supplier_1.s_address, supplier_1.s_comment, supplier_1.s_phone limit 6;",YES,""
7,"select region_1.provsql, min( orders_1.o_shippriority), region_1.r_regionkey, region_1.r_name, min( orders_1.o_shippriority), region_1.r_regionkey, orders_1.o_clerk, min( orders_1.o_custkey), region_1.r_comment, region_1.provsql, orders_1.o_orderdate, min( orders_1.o_shippriority) , provsql.sr_why(provsql.provenance(), 'provmap') from orders as orders_1 inner join region as region_1 on (orders_1.o_orderkey = region_1.r_regionkey ) where orders_1.o_orderkey is not NULL group by orders_1.o_clerk, orders_1.o_orderdate, region_1.provsql, region_1.r_comment, region_1.r_name, region_1.r_regionkey limit 20;",YES,""
8,"select region_1.r_comment, region_1.provsql, region_1.r_name , provsql.sr_why(provsql.provenance(), 'provmap') from region as region_1 where region_1.r_comment is not NULL limit 5;",YES,""
9,"select min( supplier_1.s_suppkey) , provsql.sr_why(provsql.provenance(), 'provmap') from supplier as supplier_1 where supplier_1.s_nationkey > supplier_1.s_suppkey limit 21;",YES,""
10,"select part_1.p_name, part_1.p_brand, part_1.p_type, part_1.p_retailprice, part_1.p_size, part_1.p_retailprice , provsql.sr_why(provsql.provenance(), 'provmap') from part as part_1 where part_1.p_brand is not NULL limit 34;",YES,""
11,"select orders_1.o_orderdate, max( orders_1.o_custkey), lineitem_1.l_tax, orders_1.o_orderdate , provsql.sr_why(provsql.provenance(), 'provmap') from orders as orders_1 inner join lineitem as lineitem_1 on (orders_1.o_orderkey = lineitem_1.l_orderkey ) where orders_1.o_shippriority >= lineitem_1.l_linenumber group by lineitem_1.l_tax, orders_1.o_orderdate limit 34;",YES,""
12,"select supplier_1.provsql , provsql.sr_why(provsql.provenance(), 'provmap') from supplier as supplier_1 where supplier_1.s_address is not NULL limit 7;",YES,""
13,"select min( nation_1.n_regionkey), max( nation_1.n_regionkey), nation_1.n_nationkey, nation_1.provsql , provsql.sr_why(provsql.provenance(), 'provmap') from nation as nation_1 where nation_1.n_regionkey is not NULL group by nation_1.n_nationkey, nation_1.provsql limit 25;",YES,""
14,"select region_1.r_name , provsql.sr_why(provsql.provenance(), 'provmap') from region as region_1 where region_1.r_regionkey is not NULL limit 30;",YES,""
15,"select max( supplier_1.s_nationkey), supplier_1.s_address, supplier_1.s_phone, supplier_1.provsql, supplier_1.s_name, supplier_1.s_phone, supplier_1.s_phone, supplier_1.s_address, supplier_1.s_name, min( supplier_1.s_suppkey), max( supplier_1.s_nationkey) , provsql.sr_why(provsql.provenance(), 'provmap') from supplier as supplier_1 where supplier_1.provsql is not NULL group by supplier_1.provsql, supplier_1.s_address, supplier_1.s_name, supplier_1.s_phone limit 40;",YES,""
16,"select part_1.p_comment , provsql.sr_why(provsql.provenance(), 'provmap') from part as part_1 where part_1.p_retailprice is not NULL limit 27;",YES,""
17,"select lineitem_1.l_comment, lineitem_1.provsql, lineitem_1.provsql, lineitem_1.l_shipinstruct, lineitem_1.l_linestatus, lineitem_1.l_extendedprice, lineitem_1.l_shipdate, lineitem_1.l_extendedprice, lineitem_1.l_linestatus, lineitem_1.l_quantity, min( lineitem_1.l_partkey), lineitem_1.l_suppkey , provsql.sr_why(provsql.provenance(), 'provmap') from lineitem as lineitem_1 where lineitem_1.l_partkey > lineitem_1.l_orderkey group by lineitem_1.l_comment, lineitem_1.l_extendedprice, lineitem_1.l_linestatus, lineitem_1.l_quantity, lineitem_1.l_shipdate, lineitem_1.l_shipinstruct, lineitem_1.l_suppkey, lineitem_1.provsql limit 15;",YES,""
18,"select lineitem_1.l_returnflag, lineitem_1.l_linenumber, min( lineitem_1.l_suppkey), max( lineitem_1.l_suppkey), lineitem_1.l_suppkey , provsql.sr_why(provsql.provenance(), 'provmap') from lineitem as lineitem_1 where lineitem_1.l_partkey is not NULL group by lineitem_1.l_linenumber, lineitem_1.l_returnflag, lineitem_1.l_suppkey limit 42;",YES,""
19,"select nation_1.n_name , provsql.sr_why(provsql.provenance(), 'provmap') from nation as nation_1 where nation_1.provsql > nation_1.provsql limit 9;",YES,""
20,"select partsupp_1.ps_partkey, min( partsupp_1.ps_availqty), partsupp_1.ps_supplycost , provsql.sr_why(provsql.provenance(), 'provmap') from partsupp as partsupp_1 where partsupp_1.ps_supplycost > partsupp_1.ps_supplycost group by partsupp_1.ps_partkey, partsupp_1.ps_supplycost limit 16;",YES,""
21,"select nation_1.n_regionkey , provsql.sr_why(provsql.provenance(), 'provmap') from nation as nation_1 where nation_1.provsql = nation_1.provsql limit 21;",YES,""
22,"select customer_1.c_phone, max( lineitem_1.l_suppkey), lineitem_1.l_suppkey , provsql.sr_why(provsql.provenance(), 'provmap') from customer as customer_1 inner join lineitem as lineitem_1 on (customer_1.c_custkey = lineitem_1.l_orderkey ) where lineitem_1.l_commitdate is not NULL group by customer_1.c_phone, lineitem_1.l_suppkey limit 11;",YES,""
23,"select orders_1.o_shippriority , provsql.sr_why(provsql.provenance(), 'provmap') from orders as orders_1 where orders_1.o_orderdate = orders_1.o_orderdate limit 40;",YES,""
24,"select lineitem_1.l_commitdate, lineitem_1.l_shipmode, lineitem_1.l_receiptdate, nation_1.n_nationkey, nation_1.provsql, lineitem_1.l_commitdate, lineitem_1.l_suppkey, max( lineitem_1.l_linenumber), max( nation_1.n_nationkey), lineitem_1.l_orderkey, lineitem_1.l_linestatus, lineitem_1.l_suppkey, max( nation_1.n_nationkey), max( lineitem_1.l_partkey), lineitem_1.l_commitdate, lineitem_1.l_suppkey, nation_1.n_regionkey, nation_1.provsql, lineitem_1.l_partkey, nation_1.n_comment, nation_1.n_comment, max( lineitem_1.l_partkey), lineitem_1.l_extendedprice, nation_1.n_regionkey, lineitem_1.l_extendedprice, nation_1.n_regionkey, lineitem_1.l_returnflag, max( lineitem_1.l_orderkey), nation_1.n_nationkey, lineitem_1.l_suppkey, nation_1.provsql, nation_1.n_nationkey, lineitem_1.l_quantity, lineitem_1.l_shipmode, nation_1.n_nationkey , provsql.sr_why(provsql.provenance(), 'provmap') from nation as nation_1 inner join lineitem as lineitem_1 on (nation_1.n_nationkey = lineitem_1.l_orderkey ) where nation_1.provsql is not NULL group by lineitem_1.l_commitdate, lineitem_1.l_extendedprice, lineitem_1.l_linestatus, lineitem_1.l_orderkey, lineitem_1.l_partkey, lineitem_1.l_quantity, lineitem_1.l_receiptdate, lineitem_1.l_returnflag, lineitem_1.l_shipmode, lineitem_1.l_suppkey, nation_1.n_comment, nation_1.n_nationkey, nation_1.n_regionkey, nation_1.provsql limit 21;",YES,""
25,"select max( customer_1.c_custkey), customer_1.c_acctbal, customer_1.c_acctbal, partsupp_1.ps_availqty , provsql.sr_why(provsql.provenance(), 'provmap') from customer as customer_1 inner join partsupp as partsupp_1 inner join partsupp as partsupp_2 on (partsupp_1.ps_partkey = partsupp_2.ps_partkey ) on (customer_1.c_custkey = partsupp_1.ps_partkey ) where customer_1.c_name is not NULL group by customer_1.c_acctbal, partsupp_1.ps_availqty limit 16;",YES,""
26,"select part_1.provsql , provsql.sr_why(provsql.provenance(), 'provmap') from part as part_1 where part_1.p_name is not NULL limit 9;",YES,""
27,"select customer_1.c_phone, nation_1.n_nationkey, customer_1.c_phone , provsql.sr_why(provsql.provenance(), 'provmap') from customer as customer_1 inner join nation as nation_1 on (customer_1.c_custkey = nation_1.n_nationkey ) inner join part as part_1 on (nation_1.n_nationkey = part_1.p_partkey ) inner join supplier as supplier_1 on (customer_1.c_custkey = supplier_1.s_suppkey ) where part_1.p_mfgr is not NULL limit 32;",YES,""
28,"select min( part_2.p_partkey) , provsql.sr_why(provsql.provenance(), 'provmap') from customer as customer_1 inner join part as part_1 on (customer_1.c_custkey = part_1.p_partkey ) inner join nation as nation_1 on (customer_1.c_custkey = nation_1.n_nationkey ) inner join part as part_2 on (customer_1.c_custkey = part_2.p_partkey ) where part_1.p_brand is not NULL limit 40;",YES,""
29,"select region_1.r_name, max( nation_1.n_nationkey) , provsql.sr_why(provsql.provenance(), 'provmap') from supplier as supplier_1 inner join nation as nation_1 inner join region as region_1 on (nation_1.n_nationkey = region_1.r_regionkey ) on (supplier_1.s_suppkey = nation_1.n_nationkey ) where supplier_1.s_nationkey > supplier_1.s_suppkey group by region_1.r_name limit 25;",YES,""
30,"select supplier_1.s_address, supplier_1.s_acctbal , provsql.sr_why(provsql.provenance(), 'provmap') from supplier as supplier_1 where supplier_1.s_name > supplier_1.s_phone limit 15;",YES,""
31,"select max( orders_1.o_custkey), orders_1.o_clerk, orders_1.o_orderdate, orders_2.o_clerk, orders_1.o_shippriority, orders_2.o_comment , provsql.sr_why(provsql.provenance(), 'provmap') from orders as orders_1 inner join part as part_1 inner join orders as orders_2 on (part_1.p_partkey = orders_2.o_orderkey ) on (orders_1.o_orderkey = orders_2.o_orderkey ) where part_1.p_comment is not NULL group by orders_1.o_clerk, orders_1.o_orderdate, orders_1.o_shippriority, orders_2.o_clerk, orders_2.o_comment limit 13;",YES,""
32,"select supplier_1.s_nationkey, part_1.p_type, part_1.p_partkey, part_1.p_mfgr, supplier_1.s_phone, lineitem_1.l_tax, supplier_1.s_comment, part_1.p_size, lineitem_1.l_linestatus, lineitem_1.l_partkey, max( lineitem_1.l_suppkey), max( lineitem_1.l_orderkey), supplier_1.s_comment, part_1.p_name, part_1.p_name , provsql.sr_why(provsql.provenance(), 'provmap') from supplier as supplier_1 inner join part as part_1 on (supplier_1.s_suppkey = part_1.p_partkey ) inner join lineitem as lineitem_1 on (part_1.p_partkey = lineitem_1.l_orderkey ) where part_1.provsql = supplier_1.provsql group by lineitem_1.l_linestatus, lineitem_1.l_partkey, lineitem_1.l_tax, part_1.p_mfgr, part_1.p_name, part_1.p_partkey, part_1.p_size, part_1.p_type, supplier_1.s_comment, supplier_1.s_nationkey, supplier_1.s_phone limit 9;",YES,""
33,"select orders_1.o_orderstatus, orders_1.o_orderstatus , provsql.sr_why(provsql.provenance(), 'provmap') from orders as orders_1 inner join customer as customer_1 on (orders_1.o_orderkey = customer_1.c_custkey ) where orders_1.o_shippriority is not NULL limit 29;",YES,""
34,"select lineitem_1.l_discount, lineitem_1.l_linenumber, lineitem_1.l_linenumber, lineitem_1.l_quantity , provsql.sr_why(provsql.provenance(), 'provmap') from lineitem as lineitem_1 where lineitem_1.l_tax is not NULL limit 23;",YES,""
